source,target,weight
Jahanabad Dist,Private Citizens & Property,1
Jahandar Village,Government (General),1
Jahangir Kalan,Military,1
Jaito,Government (General),1
Jalandhar,Private Citizens & Property,2
Jalandhar District,Private Citizens & Property,1
Jalota,Private Citizens & Property,1
Jalpaiguri District,Government (General),1
Jammu,Educational Institution,1
Jammu,Private Citizens & Property,1
Jammu,Transportation,1
Jammu town,Transportation,1
Jamphal,Police,1
Jamuguri,Police,1
Jandiala,Police,1
Jandiala County,Police,1
Jhabal,Educational Institution,1
Jhanger,Private Citizens & Property,1
Jhugian,Police,1
Jhuliwala,Military,1
Jodhan Nagri,Private Citizens & Property,1
Jodhpur,Airports & Aircraft,1
Johal,Private Citizens & Property,1
"Jornat, Assam",Government (General),1
Jullandur District,Police,1
Jullundan (Punjab),Private Citizens & Property,1
Jullunder,Violent Political Party,1
Jullunder District,Business,1
Jullundhur,Business,1
Jullundur,Business,1
Jullundur,Government (General),2
Jullundur,Police,1
Jullundur,Private Citizens & Property,4
Jullundur,Religious Figures/Institutions,1
Jullundur City,Private Citizens & Property,1
Jullundur Dist.,Government (General),1
Jullundur District,Private Citizens & Property,1
Jullundur town,Government (General),1
Kabarwala,Transportation,1
Kabipur,Police,1
Kada Viohan,Private Citizens & Property,1
Kadian,Private Citizens & Property,1
Kaithal,Private Citizens & Property,1
Kala Afghana,Private Citizens & Property,1
Kalachara,Private Citizens & Property,1
Kalanour,Journalists & Media,1
Kaler,Private Citizens & Property,1
Kalimpong,Food or Water Supply,1
Kalimpong,Police,3
Kalimpong,Private Citizens & Property,1
Kalimpong,Utilities,1
Kalimpong Town,Private Citizens & Property,1
Kamalawala,Private Citizens & Property,1
Kampur,Private Citizens & Property,1
kangan,Private Citizens & Property,1
Kangraiyan,Private Citizens & Property,1
Kanpur,Government (General),1
Kanpur,Private Citizens & Property,1
Kapurthala (Punjab),Private Citizens & Property,1
Kapurthala District,Private Citizens & Property,1
Kapurthala District,Transportation,1
Karadwala,Private Citizens & Property,1
Karisari,Private Citizens & Property,1
Karmuwal,Private Citizens & Property,1
karnal,Transportation,1
kashmir state,Educational Institution,5
Kathley,Religious Figures/Institutions,1
Kathunangal,Transportation,1
Kedymandi,Private Citizens & Property,1
Khadur Saheb,Private Citizens & Property,1
Khajoura,Private Citizens & Property,1
Khalijian,Private Citizens & Property,1
Khalsanagar-basti,Private Citizens & Property,1
Khandwala,Private Citizens & Property,1
Khangnadesian,Violent Political Party,1
Khanpur village,Private Citizens & Property,1
khargone,Private Citizens & Property,2
Khasawal,Business,1
Khati,Private Citizens & Property,1
Kheerawali Village,Private Citizens & Property,1
Khera,Private Citizens & Property,1
Kishan Pura Village,Private Citizens & Property,1
Kler Village,Private Citizens & Property,1
Kohali,Police,3
Kokrajhar,Police,2
Kokrajhar,Transportation,1
Kokrajhar district,Government (General),1
Kokrajhar District,Police,2
Kotla,Violent Political Party,1
Kotsukia,Private Citizens & Property,1
Kotta Gol Shah,Police,1
Kuiripetha,Government (General),1
Kulian,Private Citizens & Property,1
Kullar,Private Citizens & Property,1
Kuriwala Village,Educational Institution,1
Kurseong,Food or Water Supply,1
Kurseong,Government (General),2
Kurseong,Police,5
Kurseong,Utilities,1
Kurukshetra,Business,1
Lakhana Village,Private Citizens & Property,1
Lakhanwal,Government (General),1
Lakhne,Private Citizens & Property,1
Lakhuwal village,Private Citizens & Property,1
Lalru,Transportation,1
Lamlai,Police,1
Langeri,Government (General),1
Lohara,Police,1
Lokka,Private Citizens & Property,1
Loria Para,Police,1
Ludhiana,Business,3
Ludhiana,Educational Institution,1
Ludhiana,Government (General),6
Ludhiana,Police,4
Ludhiana,Private Citizens & Property,5
Ludhiana,Religious Figures/Institutions,3
Ludhiana,Transportation,5
Ludhiana City,Government (General),1
Ludhiana City,Violent Political Party,1
Ludhiana Dist,Police,1
Ludhiana Dist.,Police,1
Ludhiana District,Police,1
Ludhiana District,Private Citizens & Property,3
Ludhianna,Private Citizens & Property,1
Ludhiansa,Business,1
Machuria Village,Private Citizens & Property,1
Madhaybrar,Government (General),1
Madhoke Village,Police,1
Madras,Airports & Aircraft,1
Madras,Transportation,4
Madura,Government (General),1
Maharashtra,Police,1
Mahisabari,Government (General),1
Mahmoobnagar Dist.,Government (General),1
Mahmudpur,Private Citizens & Property,1
Maisanpur,Government (General),1
Makhu,Police,1
Makoo,Transportation,1
Malanwala,Private Citizens & Property,1
Malibigha,Private Citizens & Property,1
Malla,Private Citizens & Property,1
Maltoha,Military,1
Mand,Police,1
Mand,Private Citizens & Property,1
Manipur,Business,1
Manipur,Government (General),2
Manipur,Military,1
Manipur,Police,3
MAnipur,Private Citizens & Property,1
Manipur,Transportation,2
Manipur Imphal,Government (General),1
Mann,Government (General),1
Manochahal,Private Citizens & Property,1
Manwal,Private Citizens & Property,1
Maroor Village,Military,1
Maruwai,Police,1
Masania,Private Citizens & Property,1
Mashhad,Military,1
Maslee,Private Citizens & Property,1
Mathewal,Business,1
Matinda,Business,1
Meerut 50mi NE of New Delhi,Government (General),1
Meethapur,Private Citizens & Property,1
Mehadpur,Military,1
Mehanwana,Police,1
Mehma,Government (General),1
Merrut,Private Citizens & Property,1
Mirakut,Police,1
Mirich Gogra Mahal,Business,1
Mirik,Police,1
Mithapur,Private Citizens & Property,1
Moga,Government (General),1
Moga,Police,1
Moga,Transportation,1
Moga Subd,Police,1
Mohali,Journalists & Media,1
Mojawal,Religious Figures/Institutions,1
Mongpu,Police,1
"Mothawala (Kapurthala Dist.), Punjab",Private Citizens & Property,1
Muchhal,Private Citizens & Property,1
Mudki,Business,1
Mustapur,Private Citizens & Property,1
Nabuke,Private Citizens & Property,1
nadu state,Private Citizens & Property,1
Nagaland,Business,1
Nagaland,Government (General),1
Nakaon,Business,2
Nakodar,Police,1
Nakodar,Private Citizens & Property,1
Nalavdar District,Police,1
Nalbari,Private Citizens & Property,2
nalbari district,Police,1
Nalbari District,Private Citizens & Property,1
Nathuchak,Police,1
Navasar,Government (General),1
Navawarian,Private Citizens & Property,1
Near Amritsar,Police,1
New Dehli,Airports & Aircraft,2
New Delhi,Airports & Aircraft,2
New Delhi,Business,1
New Delhi,Government (Diplomatic),4
New Delhi,Government (General),8
New Delhi,Police,3
New Delhi,Private Citizens & Property,17
New Delhi,Religious Figures/Institutions,1
New Delhi,Transportation,7
New Delhi,Violent Political Party,2
New Delhi- Srinagar,Airports & Aircraft,1
New Dheli,Government (General),1
Nike,Private Citizens & Property,1
Noharkaya Village,Private Citizens & Property,1
northern India,Terrorists/Non-State Militia,1
Northern India,Transportation,1
Nowgong,Business,2
Nutan Bazar,Private Citizens & Property,1
Obuke,Police,1
Pahki,Private Citizens & Property,1
Pakhokke,Private Citizens & Property,1
Palahi,Private Citizens & Property,1
Palliwalli,Private Citizens & Property,1
Panbari,Police,1
Panchkula,Transportation,1
Pandori,Police,1
Panduri Village,Police,1
Pangota,Private Citizens & Property,1
Panipat,Private Citizens & Property,2
Panjora,Private Citizens & Property,1
Parjeeling,Police,2
Pathankot,Private Citizens & Property,1
Pathankot,Transportation,1
Patiala,Business,2
Patiala,Educational Institution,2
Patiala,Government (General),1
Patiala,Police,1
Patiala,Private Citizens & Property,1
Patiala,Transportation,1
Patiala Dist.,Private Citizens & Property,1
Patiala District,Police,1
Patiala District,Private Citizens & Property,2
Patiali,Government (General),1
Patilia,Police,1
Patti,Private Citizens & Property,1
Patti Town,Private Citizens & Property,1
Pehwa,Business,1
Penda,Private Citizens & Property,1
Phagawara,Police,1
Phaguri,Educational Institution,1
Phagwara,Government (General),1
Phagwara,Private Citizens & Property,1
Phagwara Town,Government (General),1
Pheowal village,Private Citizens & Property,1
Phera Ren,Police,1
Pujiawali,Private Citizens & Property,1
Pulagahawella,Educational Institution,2
Pundol,Private Citizens & Property,1
Punjab,Business,3
Punjab,Educational Institution,1
Punjab,Government (General),11
Punjab,Journalists & Media,1
Punjab,Military,2
Punjab,NGO,1
Punjab,Police,12
Punjab,Private Citizens & Property,29
Punjab,Religious Figures/Institutions,9
Punjab,Transportation,45
Punjab,Violent Political Party,1
Punjab (Amritsar),Business,1
Punjab (at Quadian),Private Citizens & Property,1
Punjab (Bhatinda Dist.),Religious Figures/Institutions,1
Punjab (Gulami village),Private Citizens & Property,1
Punjab (Harshowl Village),Religious Figures/Institutions,1
Punjab (Jogiana),Religious Figures/Institutions,1
Punjab (Muktsar),Police,1
"Punjab (near Batala, 25 miles from Amritsar)",Transportation,1
Punjab (Village of Chola Sahels),Private Citizens & Property,1
Punjab (Zerozepur dist),Religious Figures/Institutions,1
Punjab Hoshiarpur,Government (General),1
Punjab State,Educational Institution,1
Punjab State,Military,2
Punjab State,Police,5
Punjab State,Private Citizens & Property,9
Punjab State,Transportation,5
Punjab's Zeroepur district,Government (General),1
Punniyaya,Private Citizens & Property,1
Rahon,Business,1
Raibari,Private Citizens & Property,1
Raipur Rian,Private Citizens & Property,1
Rajasthan,Business,1
Rajpura Town,Private Citizens & Property,1
Rajumajra,Private Citizens & Property,1
Rama,Business,1
Rama Mandi,Government (General),1
Ramaduggu,Government (General),1
Ramgarh,Police,1
Rampur Village,Government (General),1
Rampurapull,Police,1
Rani kere village,Religious Figures/Institutions,1
Rania,Violent Political Party,1
Rasalpura,Private Citizens & Property,1
Rasoolpur,Private Citizens & Property,1
Rasulpar,Military,1
Rasulpur,Business,1
Rasulpur,Private Citizens & Property,1
Ratanhira,Police,1
Ratoka Village,Business,1
Rijatipet,Police,1
Rohini Valley,Military,1
Rooerwal,Police,1
Ropar,Educational Institution,1
Ropar,Food or Water Supply,1
Ropar,Private Citizens & Property,1
Ropar District,Business,1
Ropar District,Police,1
Rork,Government (General),1
runikhata,Police,1
Runikheta,Government (General),1
Rureasal,Transportation,1
Rurthakalam,Private Citizens & Property,1
Rutian,Government (General),1
Saint Mery Basti,Private Citizens & Property,1
Sakira Village,Police,1
Sakoha,Transportation,1
Salakati,Government (General),1
Samrawan,Police,1
Sangrala,Private Citizens & Property,1
Sangrur District,Business,1
Sangrur District,Police,1
Sangrur District,Private Citizens & Property,1
Sansara,Private Citizens & Property,1
Santu Nangal,Private Citizens & Property,1
Sarai Amanatkhan,Police,1
Saral Amanat Khan,Business,1
Sarhali Khord,Terrorists/Non-State Militia,1
Sarowal,Private Citizens & Property,1
Sarzulgarh,Police,1
Satnala Village,Private Citizens & Property,3
Satrah Kalan,Police,1
Seapani,Transportation,2
Shankerdura,Military,1
Shantipara,Private Citizens & Property,1
Sharinwala,Police,1
Shekhawal,Private Citizens & Property,1
Sherpur,Government (General),1
Shinshin,Private Citizens & Property,1
Sidhuwadona,Private Citizens & Property,1
Sidli,Police,1
sinagar,Private Citizens & Property,1
Singamadi,Government (General),1
Singbuli,Educational Institution,1
Singhbitia,Government (General),1
Sirhind,Business,1
Sohal,Police,1
Sohara Village,Police,1
Sonada,Police,1
Sonda,Violent Political Party,1
Sonepat,Transportation,1
Sootia,Police,1
Sotha,Private Citizens & Property,1
South Delhi,Private Citizens & Property,1
Sriganganagar,Police,3
Srihargobindpur,Police,1
Srinagar,Business,4
Srinagar,Government (General),2
Srinagar,Police,5
Srinagar,Private Citizens & Property,5
Srinagar,Tourists,2
sringagar,Private Citizens & Property,1
srinigar,Airports & Aircraft,1
srinigar,Business,5
Srinigar,Government (General),3
Srinigar,Police,3
srinigar,Private Citizens & Property,6
srinigar,Religious Figures/Institutions,1
srinigar,Transportation,5
Srinigar,Violent Political Party,2
srinigr,Government (General),1
Sudhpora,Police,1
Sukhia Pokhri,Police,1
Sultanpuri Lodhi (Kapurthala District),Religious Figures/Institutions,1
Sundargarh,Military,1
sundaridia,Transportation,1
Sunderchak,Private Citizens & Property,1
Sunhpora,Private Citizens & Property,1
Suravaram,Government (General),1
Takhtuchak,Private Citizens & Property,1
Talwandi Rai Dadoo,Private Citizens & Property,1
Talwandi Suba,Police,1
Tamenglong,Military,1
Tamil Nader (Madras),Transportation,1
Tamil Nadu,Transportation,1
Tanjeli,Private Citizens & Property,1
Taran Taran,Police,2
Tarn Taran,Business,2
Tarn Taran,Government (General),1
Tarn Taran,Police,4
Tarn Taran,Private Citizens & Property,1
Tarntaran,Private Citizens & Property,1
Tarsika,Police,1
Tezpur,Business,1
Tezpur,Private Citizens & Property,1
Tezpur town,Transportation,1
Thathian,Private Citizens & Property,1
Thepaichurara,Private Citizens & Property,1
Thiruvaiyaru,Transportation,1
Tikkapur,Business,1
Timuwal,Private Citizens & Property,1
Tinde,Police,1
Tinsukhia,Government (General),1
Tinsukia,Private Citizens & Property,1
Tinzol,NGO,1
Tipaimukh,Police,1
Tirupatur,Police,1
Todapur,Police,1
Toor Village,Private Citizens & Property,1
township of Mansa,Religious Figures/Institutions,1
Tricomalee,Religious Figures/Institutions,1
Tripuna (at Subaisingh),Transportation,1
Tripura,Military,1
Tripura,Private Citizens & Property,4
Tripura (in Baramura),Utilities,1
Tripura State,Government (General),2
Tripura state,Police,1
Tripura State,Private Citizens & Property,1
Tvi Chakmabari,Private Citizens & Property,1
Udalgiri,Government (General),1
udalgiri,Police,1
udalgiri,Private Citizens & Property,1
Udalgiri area,Transportation,1
Udhakay,Private Citizens & Property,1
Udhoke,Religious Figures/Institutions,1
Udhonaugal,Police,1
ujani dam,Airports & Aircraft,1
uri,Military,1
Urmartanda,Police,1
Urmur Danda,Private Citizens & Property,1
Uttar Pradesh,Police,1
Uttar Pradesh State,Transportation,1
Vadala Kalan,Private Citizens & Property,1
Valtoha Village,Police,1
Vanala,Private Citizens & Property,1
Vdhamsingh Nagar,Private Citizens & Property,1
Vijaypura,Police,1
Village Shahpur,Private Citizens & Property,1
Virka,Government (General),1
Wakanir,Government (General),1
Wear Amritsar,Transportation,1
West Bengal,Violent Political Party,1
Yamunanagar,Private Citizens & Property,1
Zerozepore,Police,1
Zerozpur,Government (General),1
Zhanewal,Private Citizens & Property,1
