source,target,weight
Singbuli,Facility/Infrastructure Attack,1
Singhbitia,Assassination,1
Sirhind,Armed Assault,1
Sohal,Armed Assault,1
Sohara Village,Assassination,1
Sonada,Armed Assault,1
Sonda,Hostage Taking (Kidnapping),1
Sonepat,Bombing/Explosion,1
Sootia,Assassination,1
Sotha,Armed Assault,1
South Delhi,Assassination,1
Sriganganagar,Assassination,3
Srihargobindpur,Armed Assault,1
Srinagar,Armed Assault,7
Srinagar,Bombing/Explosion,11
sringagar,Bombing/Explosion,1
Srinigar,Armed Assault,1
srinigar,Assassination,6
srinigar,Bombing/Explosion,16
srinigar,Facility/Infrastructure Attack,1
Srinigar,Hijacking,1
Srinigar,Hostage Taking (Kidnapping),1
srinigr,Bombing/Explosion,1
Sudhpora,Bombing/Explosion,1
Sukhia Pokhri,Bombing/Explosion,1
Sultanpuri Lodhi (Kapurthala District),Assassination,1
Sundargarh,Armed Assault,1
sundaridia,Bombing/Explosion,1
Sunderchak,Armed Assault,1
Sunhpora,Bombing/Explosion,1
Suravaram,Hostage Taking (Kidnapping),1
Takhtuchak,Assassination,1
Talwandi Rai Dadoo,Assassination,1
Talwandi Suba,Armed Assault,1
Tamenglong,Armed Assault,1
Tamil Nadu,Bombing/Explosion,1
Tanjeli,Armed Assault,1
Taran Taran,Assassination,2
Tarn Taran,Armed Assault,1
Tarn Taran,Assassination,6
Tarn Taran,Hostage Taking (Kidnapping),1
Tarntaran,Assassination,1
Tarsika,Armed Assault,1
Tezpur,Bombing/Explosion,2
Tezpur town,Bombing/Explosion,1
Thathian,Assassination,1
Thepaichurara,Armed Assault,1
Thiruvaiyaru,Bombing/Explosion,1
Tikkapur,Assassination,1
Timuwal,Assassination,1
Tinde,Bombing/Explosion,1
Tinsukhia,Assassination,1
Tinsukia,Bombing/Explosion,1
Tinzol,Armed Assault,1
Tipaimukh,Armed Assault,1
Tirupatur,Bombing/Explosion,1
Toor Village,Assassination,1
township of Mansa,Assassination,1
Tricomalee,Armed Assault,1
Tripuna (at Subaisingh),Armed Assault,1
Tripura,Armed Assault,3
Tripura,Assassination,2
Tripura (in Baramura),Armed Assault,1
Tripura State,Armed Assault,1
Tripura state,Assassination,2
tripura state,Bombing/Explosion,1
Tvi Chakmabari,Armed Assault,1
Udalgiri,Assassination,1
udalgiri,Bombing/Explosion,2
Udalgiri area,Bombing/Explosion,1
Udhakay,Assassination,1
Udhoke,Assassination,1
Udhonaugal,Assassination,1
ujani dam,Bombing/Explosion,1
uri,Bombing/Explosion,1
Urmartanda,Armed Assault,1
Urmur Danda,Armed Assault,1
Uttar Pradesh,Armed Assault,1
Uttar Pradesh State,Bombing/Explosion,1
Vadala Kalan,Armed Assault,1
Valtoha Village,Assassination,1
Vanala,Assassination,1
Vdhamsingh Nagar,Assassination,1
Village Shahpur,Assassination,1
Virka,Assassination,1
Wakanir,Assassination,1
Wear Amritsar,Bombing/Explosion,1
Yamunanagar,Assassination,1
Zerozepore,Assassination,1
Zerozpur,Assassination,1
Zhanewal,Assassination,1
