iyear,ArmedAssault,Assassination,Bombing,Facility,Hijacking,BarricadeIncident,Kidnapping,UnarmedAssaults,Unkown
1990,74,123,115,9,2,0,23,0,3
1991,101,68,85,33,0,0,48,1,3
1992,93,53,57,5,0,0,18,4,9
1993,0,0,0,0,0,0,0,0,0
1994,34,14,42,0,2,0,6,1,8
1995,18,26,61,31,1,0,9,21,12
1996,61,19,108,1,0,0,5,2,15
1997,52,10,109,1,2,0,4,0,15
1998,27,0,34,0,0,0,0,0,0
1999,36,4,58,1,0,0,9,2,2
