source,target,weight
Bogund,Armed Assault,1
Bokajan,Hostage Taking (Kidnapping),1
Bokaro,Armed Assault,1
Bokaro,Bombing/Explosion,3
Bokaro Thermal,Bombing/Explosion,1
Boko,Bombing/Explosion,1
Bokulani,Bombing/Explosion,1
Bongaigaon,Armed Assault,3
Bongaigaon,Bombing/Explosion,8
Bongaigaon District,Bombing/Explosion,1
Bonkoot,Hostage Taking (Kidnapping),1
Bordumsa,Bombing/Explosion,1
Borhat,Bombing/Explosion,1
Borkhola,Bombing/Explosion,1
Borlangpha,Armed Assault,1
Boroholdi,Armed Assault,1
Bragam,Armed Assault,1
Brahmanpalli,Bombing/Explosion,1
Brahmchak,Armed Assault,1
Budgam,Armed Assault,1
Budgam,Assassination,1
Budgam,Bombing/Explosion,3
Budgam District,Armed Assault,3
Budgam District,Bombing/Explosion,2
Bun Doda,Armed Assault,1
Bundagam,Armed Assault,1
Burdwan,Armed Assault,1
Burdwan district,Armed Assault,1
Bustar,Bombing/Explosion,1
Butibari,Bombing/Explosion,1
Cachar,Armed Assault,1
Chabilapur,Bombing/Explosion,1
Chadhata,Bombing/Explosion,1
Chadisinghpoora,Armed Assault,1
Chadoura,Bombing/Explosion,1
Chaibasa,Bombing/Explosion,1
Chak Mohd Yar,Bombing/Explosion,1
Chakka,Armed Assault,1
Champahaur,Armed Assault,1
Chandawa,Armed Assault,1
Chandel,Armed Assault,1
Chandel,Bombing/Explosion,2
Chandil,Armed Assault,1
Chandipur,Facility/Infrastructure Attack,1
Chandrathakurpara village,Armed Assault,1
Changsari,Bombing/Explosion,1
Channapora,Assassination,1
Chaplingcherra,Armed Assault,1
Chaplingcherra,Bombing/Explosion,1
Charar-i-Sharif,Bombing/Explosion,1
Charsing Village,Armed Assault,1
Charura,Armed Assault,1
Chatra,Armed Assault,3
Chatra,Bombing/Explosion,13
Chatra,Hostage Taking (Kidnapping),2
Chatra,Unknown,1
Chatroo,Assassination,1
Chelma,Bombing/Explosion,1
Cherli,Armed Assault,1
Chilkhari,Armed Assault,1
Chintagudam,Bombing/Explosion,1
Chirang,Armed Assault,3
Chirji,Armed Assault,1
Chittavas,Armed Assault,1
Chukkapur,Facility/Infrastructure Attack,1
Chunti Mohalla,Armed Assault,1
Churanchandpur,Armed Assault,1
Churanchandpur,Bombing/Explosion,2
Churanchandpur,Hostage Taking (Kidnapping),1
Churchu,Bombing/Explosion,1
Chursoo,Bombing/Explosion,1
Cuddalore,Armed Assault,1
Cuddalore,Bombing/Explosion,1
Dachepalli Mandal,Bombing/Explosion,1
Dadgiri,Armed Assault,1
Dailongjhar,Armed Assault,1
Dal Lake,Armed Assault,1
Dalina,Bombing/Explosion,1
Damanjodi,Armed Assault,1
Damhalhanjipora,Assassination,1
Damhal-Hanjipora,Bombing/Explosion,1
Dangerpora,Armed Assault,1
Dangiwachi,Armed Assault,2
Dangu Pir,Armed Assault,1
Dantewada,Armed Assault,9
Dantewada,Assassination,2
Dantewada,Bombing/Explosion,10
Dantewada,Facility/Infrastructure Attack,4
Dantewada,Unknown,1
Dantewada ((District)),Bombing/Explosion,1
Dantewara,Armed Assault,1
Dantewara,Bombing/Explosion,1
Dantewara,Facility/Infrastructure Attack,2
Dardpora,Armed Assault,3
Dardsun Kupwara,Hostage Taking (Kidnapping),1
Darhal,Bombing/Explosion,1
Darhar,Armed Assault,1
Darrang,Armed Assault,1
Darrang,Hostage Taking (Kidnapping),1
Dasligaon,Facility/Infrastructure Attack,1
Debatangi,Bombing/Explosion,1
Deewana,Bombing/Explosion,1
Deogarh,Bombing/Explosion,1
Dhamtari,Armed Assault,1
Dhamtari,Bombing/Explosion,2
Dhamtari,Facility/Infrastructure Attack,1
Dhanbad,Armed Assault,3
Dhanbad,Bombing/Explosion,5
Dhanbad,Hostage Taking (Kidnapping),1
Dhandbad,Facility/Infrastructure Attack,1
Dhansirighat,Bombing/Explosion,1
Dharmari,Armed Assault,1
