eventid,iyear,imonth,iday,provstate,city,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,weaptype1,weaptype1_txt
2.00E+11,2000,1,1,Jammu and Kashmir (State),Udhampur,2,Armed Assault,3,Police,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,1,1,Assam (State),Kakotibari,3,Bombing/Explosion,21,Utilities,United Liberation Front of Assam (ULFA),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,3,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,6,National Capital Territory of Delhi (Union Territory),New Delhi,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,7,Andhra Pradesh (State),Unknown,3,Bombing/Explosion,2,Government (General),People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,11,Andhra Pradesh (State),Kagajnagar,3,Bombing/Explosion,3,Police,People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,12,Jammu and Kashmir (State),Khannabal,2,Armed Assault,4,Military,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,1,16,Jammu and Kashmir (State),Budgam District,3,Bombing/Explosion,21,Utilities,Lashkar-e-Taiba (LeT),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,16,Tripura (State),Jirania,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,1,19,Assam (State),Unknown,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,24,Jammu and Kashmir (State),Srinagar,2,Armed Assault,4,Military,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,26,Jammu and Kashmir (State),Doda,1,Assassination,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,27,Jammu and Kashmir (State),Jammu,3,Bombing/Explosion,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,28,Jammu and Kashmir (State),Jammu,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,1,31,Tripura,Unknown,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Insurgents,,,,,,5,Firearms
2.00E+11,2000,1,31,Tripura,Atharobolla,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Insurgents,,,,,,5,Firearms
2.00E+11,2000,1,31,Tripura,Paharpur,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,13,Unknown
2.00E+11,2000,2,8,Jammu and Kashmir (State),Gaichta-Dudsunbala,2,Armed Assault,4,Military,Unknown,,,,,,5,Firearms
2.00E+11,2000,2,10,West Bengal (State),Baira,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,10,Jammu and Kashmir,Palpora,2,Armed Assault,3,Police,Guerrillas,,,,,,5,Firearms
2.00E+11,2000,2,17,Jammu and Kashmir (State),Sumbal,1,Assassination,4,Military,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,18,Jammu and Kashmir (State),Kahleel,3,Bombing/Explosion,3,Police,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,18,Jammu and Kashmir (State),Bijbehra,3,Bombing/Explosion,4,Military,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,18,Andhra Pradesh (State),Tarakunda,2,Armed Assault,3,Police,People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,20,Madhya Pradesh (State),Bustar,3,Bombing/Explosion,3,Police,People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,20,Bihar (State),Madhepura,8,Unarmed Assault,2,Government (General),National People’s Party (Rashtriya Janata Dal - RJD),,,,,,9,Melee
2.00E+11,2000,2,20,Tripura (State),Bishram Ganj,3,Bombing/Explosion,14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,8,Incendiary
2.00E+11,2000,2,22,Bihar (State),Manipur,2,Armed Assault,4,Military,Other,,,,,,5,Firearms
2.00E+11,2000,2,27,National Capital Territory of Delhi (Union Territory),New Delhi,3,Bombing/Explosion,14,Private Citizens & Property,Individual,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,2,27,Assam (State),Bahajan,3,Bombing/Explosion,2,Government (General),United Liberation Front of Assam (ULFA),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,3,Punjab,Tarkhan Majra,3,Bombing/Explosion,14,Private Citizens & Property,Separatists,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,4,Bihar (State),Kachnara,1,Assassination,4,Military,People's War Group (PWG),,,,,,5,Firearms
2.00E+11,2000,3,4,Bihar (State),Laxmipur Diara,2,Armed Assault,14,Private Citizens & Property,Naxalites,,,,,,5,Firearms
2.00E+11,2000,3,5,Jammu and Kashmir (State),Badampura,2,Armed Assault,4,Military,Unknown,,,,,,5,Firearms
2.00E+11,2000,3,7,Andhra Pradesh (State),Ghatkesar,1,Assassination,2,Government (General),Naxalites,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,7,Assam (State),Majuli Bargora,2,Armed Assault,3,Police,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,3,11,Bihar (State),Bardiha,3,Bombing/Explosion,4,Military,People's War Group (PWG),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,14,Jammu and Kashmir (State),Thanna Mand,2,Armed Assault,4,Military,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,3,16,Delhi,New Delhi,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,18,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,10,Journalists & Media,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,21,Jammu and Kashmir (State),Chadisinghpoora,2,Armed Assault,14,Private Citizens & Property,Lashkar-e-Taiba (LeT),,Hizbul Mujahideen (HM),,,,5,Firearms
2.00E+11,2000,3,0,Tamil Nadu,Cuddalore,3,Bombing/Explosion,19,Transportation,Tamil Nadu Liberation Army,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,3,24,Jammu and Kashmir (State),Kot Budhan,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,5,Firearms
2.00E+11,2000,4,5,Andhra Pradesh (State),Hyderabad,3,Bombing/Explosion,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,9,Tripura,Unknown,6,Hostage Taking (Kidnapping),2,Government (General),National Liberation Front of Tripura (NLFT),,,,,,13,Unknown
2.00E+11,2000,4,9,Tripura,Unknown,6,Hostage Taking (Kidnapping),2,Government (General),National Liberation Front of Tripura (NLFT),,,,,,13,Unknown
2.00E+11,2000,4,9,Tripura,Jampui,6,Hostage Taking (Kidnapping),2,Government (General),National Liberation Front of Tripura (NLFT),,,,,,13,Unknown
2.00E+11,2000,4,9,Tripura,Unknown,6,Hostage Taking (Kidnapping),2,Government (General),National Liberation Front of Tripura (NLFT),,,,,,13,Unknown
2.00E+11,2000,4,9,Tripura,Unknown,6,Hostage Taking (Kidnapping),2,Government (General),National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,4,9,Tripura,Belbari,6,Hostage Taking (Kidnapping),2,Government (General),National Liberation Front of Tripura (NLFT),,,,,,13,Unknown
2.00E+11,2000,4,12,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,15,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,10,Journalists & Media,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,19,Jammu and Kashmir (State),Badami Bagh,3,Bombing/Explosion,4,Military,Jaish-e-Mohammad (JeM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,19,Jammu and Kashmir (State),Sopore,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,19,Tripura,Laxmipur,2,Armed Assault,14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,4,24,Assam,Khoiphuta,2,Armed Assault,14,Private Citizens & Property,Karbi National Volunteers (KNV),,,,,,5,Firearms
2.00E+11,2000,4,26,Jammu and Kashmir (State),Chak Mohd Yar,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,28,Jammu and Kashmir (State),Sher Bagh,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,4,28,Jammu and Kashmir (State),Anantnag,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,1,Tripura,Chandrathakurpara village,2,Armed Assault,14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,5,7,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,8,Maharashtra (State),Mumbai,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,Vishwa Hindu Parishad (VHP),,,,,,11,Sabotage Equipment
2.00E+11,2000,5,15,Jammu and Kashmir (State),Manipore,1,Assassination,2,Government (General),Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,15,Jammu and Kashmir (State),Mandipore,1,Assassination,2,Government (General),Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,19,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,21,Andhra Pradesh (State),Machilipatnam,3,Bombing/Explosion,15,Religious Figures/Institutions,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,21,Tripura (State),Baghber,2,Armed Assault,14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,5,20,Manipur,Imphal,3,Bombing/Explosion,2,Government (General),People's Liberation Army (India),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,22,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,28,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,18,Tourists,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,29,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,5,29,Jammu and Kashmir (State),Shopian,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,2,Jammu and Kashmir (State),Magam,1,Assassination,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,3,Assam (State),Borkhola,3,Bombing/Explosion,4,Military,National Democratic Front of Bodoland (NDFB),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,4,Jammu and Kashmir (State),Batmaloo,2,Armed Assault,3,Police,Jaish-e-Mohammad (JeM),,,,,,5,Firearms
2.00E+11,2000,6,4,Jammu and Kashmir (State),Wazirbagh locality,2,Armed Assault,3,Police,Jaish-e-Mohammad (JeM),,,,,,5,Firearms
2.00E+11,2000,6,4,Jammu and Kashmir (State),Bemina,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,5,Firearms
2.00E+11,2000,6,7,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Goa (State),Vasco,3,Bombing/Explosion,15,Religious Figures/Institutions,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Andhra Pradesh (State),Tadepalliguden,3,Bombing/Explosion,15,Religious Figures/Institutions,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Andhra Pradesh (State),Ongole,3,Bombing/Explosion,15,Religious Figures/Institutions,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,8,Karnataka (State),Wadi,3,Bombing/Explosion,15,Religious Figures/Institutions,Other,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,11,Punjab (State),Jalandhar,2,Armed Assault,15,Religious Figures/Institutions,Unknown,,,,,,9,Melee
2.00E+11,2000,6,12,Bihar (State),Asarfi,2,Armed Assault,14,Private Citizens & Property,Other,,,,,,5,Firearms
2.00E+11,2000,6,13,Jammu and Kashmir (State),Kunzar-Tangmarg,1,Assassination,2,Government (General),Unknown,,,,,,5,Firearms
2.00E+11,2000,6,25,Manipur (State),Lengdenpokse,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,5,Firearms
2.00E+11,2000,6,25,Andhra Pradesh,Guntur,3,Bombing/Explosion,15,Religious Figures/Institutions,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,6,28,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,7,2,Tripura,Kailasahar Subdivision,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,7,8,Karnataka (State),Hubli,3,Bombing/Explosion,15,Religious Figures/Institutions,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,7,West Bengal,Jalpaiguri,9,Unknown,8,Educational Institution,Kamtapur Liberation Organization (KLO),,,,,,13,Unknown
2.00E+11,2000,7,12,Jammu and Kashmir (State),Ladakh,2,Armed Assault,15,Religious Figures/Institutions,Unknown,,,,,,5,Firearms
2.00E+11,2000,7,13,Jharkhand (State),Hasker,2,Armed Assault,14,Private Citizens & Property,People's War Group (PWG),,,,,,5,Firearms
2.00E+11,2000,7,13,Assam,Bongaigaon,3,Bombing/Explosion,1,Business,National Democratic Front of Bodoland (NDFB),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,7,16,Assam (State),Rongkuri,2,Armed Assault,14,Private Citizens & Property,Karbi National Volunteers (KNV),,,,,,9,Melee
2.00E+11,2000,7,16,Assam (State),Diklam,2,Armed Assault,14,Private Citizens & Property,Karbi National Volunteers (KNV),,,,,,9,Melee
2.00E+11,2000,7,19,Assam,Serapathar,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,9,Melee
2.00E+11,2000,7,24,Punjab (State),Jullundur,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,7,24,Jammu and Kashmir,Sopore,1,Assassination,2,Government (General),Gunmen,,,,,,5,Firearms
2.00E+11,2000,7,30,Assam (State),Assam,3,Bombing/Explosion,19,Transportation,National Democratic Front of Bodoland (NDFB),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,7,30,Jammu and Kashmir (State),Gulmarg,3,Bombing/Explosion,18,Tourists,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,7,30,Assam (State),Assam,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,7,30,Tamil Nadu,Gajanur,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Bandits,,,,,,5,Firearms
2.00E+11,2000,8,0,Jammu and Kashmir,Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,1,Jammu and Kashmir (State),Pahalgam,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,5,Firearms
2.00E+11,2000,8,10,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,4,Military,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Kud,3,Bombing/Explosion,4,Military,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Jammu,3,Bombing/Explosion,4,Military,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,13,Jammu and Kashmir,Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Hizbul Mujahideen (HM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,14,Uttar Pradesh (State),Rauzabad,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,10,National Capital Territory of Delhi (Union Territory),New Delhi,3,Bombing/Explosion,14,Private Citizens & Property,Hizbul Mujahideen (HM),,Harkat ul Ansar,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,16,Jammu and Kashmir,Bijbehara,3,Bombing/Explosion,3,Police,Militants,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,17,Jammu and Kashmir,Kotdhara,2,Armed Assault,14,Private Citizens & Property,Muslim Militants,,,,,,5,Firearms
2.00E+11,2000,8,19,Jammu and Kashmir,Indeh,2,Armed Assault,14,Private Citizens & Property,Muslim Militants,,,,,,5,Firearms
2.00E+11,2000,8,20,Manipur,Imphal,2,Armed Assault,10,Journalists & Media,Gunmen,,,,,,5,Firearms
2.00E+11,2000,8,21,Assam (State),Gargaon,1,Assassination,2,Government (General),National Democratic Front of Bodoland (NDFB),,,,,,5,Firearms
2.00E+11,2000,8,22,Assam,Bogribari,2,Armed Assault,14,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),,,,,,5,Firearms
2.00E+11,2000,8,26,Manipur,Imphal,3,Bombing/Explosion,10,Journalists & Media,Militants,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,8,27,Tripura,Jirania,2,Armed Assault,15,Religious Figures/Institutions,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,9,1,Jammu and Kashmir (State),Sangrama,1,Assassination,15,Religious Figures/Institutions,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,1,Jammu and Kashmir (State),Drahteng-Prang,2,Armed Assault,4,Military,Hizbul Mujahideen (HM),,,,,,5,Firearms
2.00E+11,2000,9,1,Jammu and Kashmir (State),Utrosou,2,Armed Assault,3,Police,Unknown,,,,,,5,Firearms
2.00E+11,2000,9,8,Jammu and Kashmir (State),Kupwara District,2,Armed Assault,2,Government (General),Unknown,,,,,,5,Firearms
2.00E+11,2000,9,9,Bihar (State),Dumariyan,2,Armed Assault,22,Violent Political Party,Ranbir Sena,,,,,,8,Incendiary
2.00E+11,2000,9,12,Jammu and Kashmir (State),Budgam District,2,Armed Assault,4,Military,Lashkar-e-Taiba (LeT),,Jamiat ul-Mujahedin (JuM),,,,5,Firearms
2.00E+11,2000,9,13,Assam (State),Borlangpha,2,Armed Assault,3,Police,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),,United People's Democratic Solidarity (UPDS),,,,5,Firearms
2.00E+11,2000,9,13,Bihar,Narkopi,2,Armed Assault,14,Private Citizens & Property,Maoist Communist Center (MCC),,,,,,5,Firearms
2.00E+11,2000,9,14,Jammu and Kashmir (State),Srinagar,6,Hostage Taking (Kidnapping),2,Government (General),Unknown,,,,,,5,Firearms
2.00E+11,2000,9,15,Jammu and Kashmir (State),Bandipora,2,Armed Assault,3,Police,Unknown,,,,,,5,Firearms
2.00E+11,2000,9,15,Jammu and Kashmir (State),Fazlabad,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,15,Jammu and Kashmir (State),Thanna Mandi,2,Armed Assault,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,18,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,18,Tripura,Nepal Tilla,3,Bombing/Explosion,14,Private Citizens & Property,Miscreants,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,23,Jammu and Kashmir (State),Pattapani,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,24,Jammu and Kashmir (State),Rajouri,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,9,30,Bihar (State),Thalubigha,2,Armed Assault,14,Private Citizens & Property,Communist Party of India- Marxist-Leninist,,,,,,5,Firearms
2.00E+11,2000,9,30,Jammu and Kashmir (State),Poonch District,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,5,Firearms
2.00E+11,2000,10,11,Kashmir,Srinagar,3,Bombing/Explosion,3,Police,Militants,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,0,Bihar,Bhojpur,2,Armed Assault,14,Private Citizens & Property,Akhilesh Singh Gang,,,,,,5,Firearms
2.00E+11,2000,10,18,Jammu and Kashmir (State),Anchidora,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,18,Jammu and Kashmir (State),Badambagh,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,18,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,21,Jammu and Kashmir (State),Lapri,3,Bombing/Explosion,4,Military,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,23,Assam (State),Kakogam,2,Armed Assault,14,Private Citizens & Property,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,10,23,Assam (State),Naholia,2,Armed Assault,14,Private Citizens & Property,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,10,23,Maharashtra (State),Nagpur,2,Armed Assault,15,Religious Figures/Institutions,Unknown,,,,,,5,Firearms
2.00E+11,2000,10,0,Tripura,Sashisangmapara,3,Bombing/Explosion,14,Private Citizens & Property,United Bengali Liberation Front (UBLF),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,26,Punjab,Bhatinda,3,Bombing/Explosion,19,Transportation,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,10,27,Assam (State),Nalbari,2,Armed Assault,14,Private Citizens & Property,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,10,27,Jammu and Kashmir (State),Surankote,7,Facility/Infrastructure Attack,3,Police,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,11,2,Manipur (State),Imphal,2,Armed Assault,4,Military,Unknown,,,,,,5,Firearms
2.00E+11,2000,11,3,Jammu and Kashmir (State),Mazhama,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,11,8,Assam (State),Sukrungbari,2,Armed Assault,14,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),,,,,,5,Firearms
2.00E+11,2000,11,15,Tripura,Suknachara,3,Bombing/Explosion,14,Private Citizens & Property,United Bengali Liberation Front (UBLF),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,11,16,Assam,Unknown,2,Armed Assault,1,Business,National Democratic Front of Bodoland (NDFB),,,,,,5,Firearms
2.00E+11,2000,11,17,Assam,Simuluguri,2,Armed Assault,14,Private Citizens & Property,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,11,19,Tripura,Boroholdi,2,Armed Assault,14,Private Citizens & Property,National Liberation Front of Tripura (NLFT),,,,,,5,Firearms
2.00E+11,2000,11,21,Jammu and Kashmir (State),Jammu,2,Armed Assault,14,Private Citizens & Property,Unknown,,,,,,5,Firearms
2.00E+11,2000,11,24,Jammu and Kashmir (State),Kishtwar,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Lashkar-e-Taiba (LeT),,,,,,5,Firearms
2.00E+11,2000,11,24,Assam (State),Kokrajhar District,2,Armed Assault,14,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),,,,,,5,Firearms
2.00E+11,2000,11,25,Assam (State),Jagra,2,Armed Assault,14,Private Citizens & Property,All Tripura Tiger Force (ATTF),,United Liberation Front of Assam (ULFA),,,,5,Firearms
2.00E+11,2000,11,25,Assam (State),Kumrighata,2,Armed Assault,14,Private Citizens & Property,All Tripura Tiger Force (ATTF),,United Liberation Front of Assam (ULFA),,,,5,Firearms
2.00E+11,2000,11,30,Assam (State),Bongaigaon,2,Armed Assault,1,Business,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,12,1,Jammu and Kashmir (State),Patton,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Srinagar,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,1,Jammu and Kashmir (State),Sarju,2,Armed Assault,2,Government (General),Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,2,Manipur,Sugnu,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,Gunmen,,,,,,5,Firearms
2.00E+11,2000,12,3,Kashmir,Qazigund,2,Armed Assault,14,Private Citizens & Property,Kashmiri Militants,,,,,,5,Firearms
2.00E+11,2000,12,7,Assam (State),Tinsukia,2,Armed Assault,1,Business,United Liberation Front of Assam (ULFA),,,,,,5,Firearms
2.00E+11,2000,12,12,Jammu and Kashmir (State),Lalpura,3,Bombing/Explosion,3,Police,Unknown,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,11,National Capital Territory of Delhi (Union Territory),New Delhi,3,Bombing/Explosion,3,Police,Jaish-e-Mohammad (JeM),,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,13,Kashmir,Arwani,3,Bombing/Explosion,2,Government (General),Militants,,,,,,6,Explosives/Bombs/Dynamite
2.00E+11,2000,12,17,Bihar,Brahmchak,2,Armed Assault,22,Violent Political Party,People's War Group (PWG),,,,,,5,Firearms
2.00E+11,2000,12,18,Nagaland,Unknown,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,,,,,,6,Explosives/Bombs/Dynamite
