iyear,ArmedAssault,Assassination,Bombing,Facility,Hijacking,BarricadeIncident,Kidnapping,UnarmedAssaults,Unkown
2010,210,13,211,95,2,1,110,5,15
2011,205,10,206,89,0,0,98,7,27
2012,122,30,341,49,0,3,56,3,7
2013,167,44,341,52,2,2,71,4,11
2014,216,49,365,72,2,3,129,7,16
