New Delhi,Students Islamic Movement of India (SIMI),1,28.613939,77.209021
North Cachar Hills,Black Widows,1,25.3478,93.017571
North Cachar Hills,Dima Halao Daoga (DHD),1,25.3478,93.017571
Orissa,Communist Party of India - Maoist (CPI-Maoist),87,20.951666,85.098524
Orissa (State),People's War Group (PWG),4,20.951666,85.098524
Pulwama (District),Other,1,33.870008,74.900142
Punjab,Separatists,1,31.147131,75.341218
Punjab (State),Babbar Khalsa International (BKI),1,31.385026,75.091167
Rajasthan,Maoists,1,27.023804,74.217933
Rajasthan (State),Lashkar-e-Taiba (LeT),1,26.067214,73.282977
Sivasagar district,United Liberation Front of Assam (ULFA),1,27.00308,94.645035
Sonitpur (District),National Democratic Front of Bodoland (NDFB),1,26.673885,92.85771
Sonitpur (District),United Liberation Front of Assam (ULFA),1,26.673885,92.85771
South Tripura (District),National Liberation Front of Tripura (NLFT),1,13.083106,75.559693
Tamil Nadu,All India Anna Dravida Munetra Kazgan Party,1,11.127123,78.656894
Tamil Nadu,Bandits,1,11.127123,78.656894
Tamil Nadu,Liberation Tigers of Tamil Eelam (LTTE),1,11.127123,78.656894
Tamil Nadu,Tamil Nadu Liberation Army,1,11.127123,78.656894
Tripura,National Liberation Front of Tripura (NLFT),19,23.940848,91.988153
Tripura (State),National Liberation Front of Tripura (NLFT),15,23.840784,91.284815
Tripura Pradesh (State),National Liberation Front of Tripura (NLFT),1,23.840784,91.284815
Union (Territory),Other,1,10.918045,79.793455
Uttar Pradesh,Communist Party of India - Maoist (CPI-Maoist),1,26.846709,80.946159
Uttar Pradesh (State),Other,3,26.472096,83.785726
Uttar Pradesh state,Harkatul Jihad-e-Islami,1,26.472096,83.785726
West Bengal,Communist Party of India - Maoist (CPI-Maoist),98,22.986757,87.854976
West Bengal (State),Communist Party of India - Maoist (CPI-Maoist),3,22.094617,88.502544
West Tripura,National Liberation Front of Tripura (NLFT),1,23.899682,91.404825
