iyear,ArmedAssault,Assassination,Bombing,Facility,Hijacking,BarricadeIncident,Kidnapping,UnarmedAssaults,Unkown
1980,2,3,5,0,0,0,0,0,0
1981,0,4,9,0,1,0,0,0,2
1982,1,4,4,0,1,0,0,0,3
1983,1,15,26,0,0,0,1,0,1
1984,14,58,66,9,5,0,0,0,7
1985,1,19,16,0,0,0,0,0,3
1986,35,37,9,1,0,0,2,0,12
1987,57,69,23,7,0,1,0,0,9
1988,111,162,73,6,0,0,5,0,5
1989,94,107,103,1,3,0,10,1,5
