Sikh Extremists,Bakhtapur,28.440822,80.151232
United Liberation Front of Assam (ULFA),Barpeta Road,26.501667,90.970119
Bodo Militants,Bartam,23.344158,85.321861
Babbar Khalsa International (BKI),Batala,31.818324,75.207064
Khalistan Commando Force,Batala,31.818324,75.207064
Sikh Extremists,Batala,31.818324,75.207064
Liberation Tigers of Tamil Eelam (LTTE),Batticaloa,7.730997,81.67473
Sikh Extremists,Beas,31.515717,75.288737
Sikh Extremists,Bella village,25.92043,81.991659
Gurkha National Liberation Front (GNLF),Bengal,22.986757,87.854976
Bodo Militants,Bengtol,26.651594,90.476189
Khalistan Commando Force,Bhai Ladhu,31.260905,74.679536
Sikh Extremists,Bhantinda,30.210994,74.945475
Sikh Extremists,Bhatinda,30.210994,74.945475
Sikh Extremists,Bhikwind,31.345599,74.692032
Bodo Militants,Bhoragaon,26.398824,92.250732
Sikh Extremists,Bikki,29.420166,77.784542
Revolutionary Organization of Socialist Moslems,Bombay,19.075984,72.877656
Bodo Militants,Bongaigaon,26.500999,90.535236
Sikh Extremists,Bundala,31.530904,74.980785
Sikh Extremists,Chandgarh,30.733315,76.779418
Dishmish Regiment,Chandigarh,30.733315,76.779418
Khalistan Commando Force,Chandigarh,30.733315,76.779418
Sikh Extremists,Chandigarh,30.733315,76.779418
Sikh Extremists,Chandigarh(Punjab),30.733315,76.779418
Tripura National Volunteers (TNV),Chandrashekhar,22.065264,76.491178
Sikh Extremists,Chardigarh,30.733315,76.779418
Sikh Extremists,Chawal,22.610832,88.422889
Sikh Extremists,chintpurani,31.805439,76.104451
Sikh Extremists,Chogawan,29.934643,77.181587
Sikh Extremists,Chwindi devi,30.715101,76.793538
Sikh Extremists,Dakoha Village,31.305986,75.63972
Sikh Extremists,Dallin,30.541348,77.91246
Gurkha National Liberation Front (GNLF),Daren,22.79552,84.22261
Gurkha National Liberation Front (GNLF),Darjeeling,27.036007,88.262675
Gurkha National Liberation Front (GNLF),Darjeeling Area,27.036007,88.262675
Maoist Communist Center (MCC),Darmia-Avransabad Dist-Bihar,25.096074,85.313119
Khalistan Commando Force,Delhi,28.613939,77.209021
Organization of Arab Fedayeen Cells,Delhi,28.613939,77.209021
Sikh Extremists,Delhi,28.613939,77.209021
Sikh Extremists,Deri,30.976946,75.887525
Sikh Extremists,Dhariwal Kalan,31.892665,75.363003
Sikh Extremists,Dhariwal-northern Punjob,32.056293,75.477341
Sikh Extremists,Dhaurewal,31.958504,75.323245
Khalistan Commando Force,Dhilwan Village,31.509998,75.335388
Naga People,"Dimapur, Nagaland",25.862989,93.753666
Sikh Extremists,en route from Chandigarh to Srinagar,30.733315,76.779418
All India Sikh Students Federation (AISSF),en route from Srinagar to Delhi,34.125541,74.944258
Bodo Militants,Fakirgram,26.364676,90.18345
Terrorists,Faridkat,30.678187,74.739559
Sikh Extremists,Faridkot District,30.593204,74.827318
Sikh Extremists,Fariokot,30.678187,74.739559
Sikh Extremists,Fatehgarh Churian,31.864464,74.955923
Sikh Extremists,Fatehpur,25.920074,80.809994
Khalistan Commando Force,Ferozepore area,30.928868,74.625378
Sikh Extremists,Ferozepore District,30.524099,75.756046
Sikh Extremists,Ferozepur District,30.524099,75.756046
Sikh Extremists,Firozapur village,30.933135,74.622476
Sikh Extremists,Firozpur,30.933135,74.622476
Bodo Militants,Gauhati,26.144517,91.736237
Sikh Extremists,Ghadiara,22.232572,88.036309
Tripura National Volunteers (TNV),Gokulpar,22.773645,88.847904
Bodo Militants,Gossaigoan,26.437091,89.976679
Sikh Extremists,Guardaspur Dist,32.041942,75.405337
Sikh Extremists,Gugapir,28.617692,76.892049
Sikh Extremists,Gujarpur,28.482876,77.477367
Sikh Extremists,Gujarpur Dist.,31.315581,76.044268
Sikh Extremists,Guragaon,28.459497,77.026638
Khalistan Liberation Force,Gurdasdur,32.041942,75.405337
Terrorists,Gurdaspeer District,31.940009,75.247906
Khalistan Liberation Force,Gurdaspur,32.041942,75.405337
Sikh Extremists,Gurdaspur,32.041942,75.405337
Sikh Extremists,Gurdaspur District,31.940009,75.247906
Sikh Extremists,Hargobindpur,25.681611,85.545126
Sikh Extremists,Harike,31.168901,74.942797
Sikh Extremists,Haryana,29.058776,76.085601
Sikh Extremists,Hoshiapur,31.514318,75.911483
Sikh Extremists,Hoshiapur District,31.647898,75.806908
Sikh Extremists,Hoshiardpur district,31.647898,75.806908
Sikh Extremists,Hoshiarpur District,31.647898,75.806908
National Socialist Council of Nagaland,Imphal,24.817011,93.936844
Sikh Extremists,Malanwala,30.988704,74.650611
Sikh Extremists,Malibigha,24.69275,84.228102
Sikh Extremists,Malla,30.450296,75.01
Maoists,Manipur,24.663717,93.906269
National Socialist Council of Nagaland,Manipur,24.663717,93.906269
People's Liberation Army (India),MAnipur,24.663717,93.906269
Secessionists,Manipur,24.663717,93.906269
Maoists,Manipur Imphal,24.817011,93.936844
Sikh Extremists,Masania,20.174308,85.521312
Tripura National Volunteers (TNV),Maslee,21.36105,78.532366
Sikh Extremists,Mathewal,31.687309,75.147241
Sikh Extremists,Matinda,19.021962,72.835777
Sikh Extremists,Meethapur,22.405858,69.031212
Sikh Extremists,Mehadpur,31.047327,75.472341
Sikh Extremists,Merrut,28.984462,77.706414
Gurkha National Liberation Front (GNLF),Mirik,26.885297,88.182793
Sikh Extremists,Mithapur,22.405858,69.031212
Mizo National Front,Mizoram,23.164543,92.937574
Khalistan Commando Force,Moga,30.81646,75.171709
Sikh Extremists,Moga,30.81646,75.171709
Sikh Extremists,Mohali,30.704649,76.717873
Gurkha National Liberation Front (GNLF),Mongpu,26.972925,88.370066
Sikh Extremists,"Mothawala (Kapurthala Dist.), Punjab",31.229522,75.303317
Sikh Extremists,Muchhal,31.56988,75.144323
Sikh Extremists,Mustapur,18.112133,77.450118
Insurgents,Nagaland,26.158435,94.562443
United Liberation Front of Assam (ULFA),Nakaon,30.096267,78.62356
Sikh Extremists,Nakodar,31.127019,75.481773
Bodo Militants,Nalbari,26.444619,91.441053
Bodo Militants,Nalbari District,26.36605,91.327642
Sikh Extremists,Navasar,20.946702,72.952035
Sikh Extremists,Near Amritsar,31.633979,74.872264
Iranians,New Dehli,28.613939,77.209021
All India Sikh Students Federation (AISSF),New Delhi,28.613939,77.209021
Fedayeen Khalq (People's Commandos),New Delhi,28.613939,77.209021
Karamyit Singh,New Delhi,28.613939,77.209021
Khalistan Commando Force,New Delhi,28.613939,77.209021
Separatists,New Delhi,28.613939,77.209021
Sikh Extremists,New Delhi,28.613939,77.209021
Tamils,New Delhi,28.613939,77.209021
Terrorists,New Delhi,28.613939,77.209021
Sikh Extremists,New Delhi- Srinagar,28.682382,77.137731
Sikh Extremists,New Dheli,28.613939,77.209021
Sikh Extremists,Nike,12.979424,77.658575
Sikh Extremists,northern India,26.846709,80.946159
Tripura National Volunteers (TNV),Nutan Bazar,23.423139,91.756316
Sikh Extremists,Palahi,31.255384,75.761859
Bodo Militants,Panbari,26.700502,88.852514
Sikh Extremists,Panchkula,30.694209,76.860565
Sikh Extremists,Pandori,30.829115,75.63972
Sikh Extremists,Panduri Village,24.528441,72.797723
Khalistan Liberation Force,Pangota,11.780041,78.21738
Sikh Extremists,Panipat,29.390946,76.963502
Gurkha National Liberation Front (GNLF),Parjeeling,27.036007,88.262675
Babbar Khalsa International (BKI),Pathankot,32.264338,75.642112
Sikh Extremists,Patiala,30.339781,76.38688
Sikh Extremists,Patiala District,30.30981,76.317414
