Manipur Imphal,24.817011,93.936844,Assassination,Government
Manipur,24.663717,93.906269,Armed Assault,Government
Calcutta,22.572646,88.363895,Bombing,Transportation
New Delhi,28.613939,77.209021,Assassination,Private Citizens & Property
Tirupatur,11.108524,77.341066,Bombing,Police
Assam,26.200604,92.937574,Bombing,Utilities
Assam,26.200604,92.937574,Bombing,Transportation
Assam,26.200604,92.937574,Bombing,Transportation
Assam,26.200604,92.937574,Bombing,Military
Assam,26.200604,92.937574,Bombing,Utilities
Gauhati (Assam),26.144517,91.736237,Bombing,Government
Gavharti,26.144517,91.736237,Bombing,Utilities
"Jornat, Assam",26.74652,94.202586,Assassination,Government
Nagaland,26.158435,94.562443,Assassination,Government
Assam,26.200604,92.937574,Bombing,Transportation
Manipur,24.663717,93.906269,Bombing,Private Citizens & Property
Assam,26.200604,92.937574,Bombing,Transportation
Mashhad,21.214186,73.243362,Assassination,Military
New Delhi- Srinagar,28.682382,77.137731,Hijacking,Airports & Aircraft
Chandigarh,30.733315,76.779418,Assassination,Government
Chandigarh (Punjab),30.733315,76.779418,Bombing,Religious Figures/Institutions
Gauhati,26.144517,91.736237,Bombing,Private Citizens & Property
New Delhi,28.613939,77.209021,Assassination,Government (Diplomatic)
Aijal (in Mizoram),23.727107,92.717639,Assassination,Government
Jodhpur,26.238947,73.024309,Hijacking,Airports & Aircraft
Bombay,19.075984,72.877656,Assassination,Government (Diplomatic)
Tipaimukh,24.2355,93.025391,Armed Assault,Police
Amritsar,31.633979,74.872264,Bombing,Religious Figures/Institutions
New Delhi,28.613939,77.209021,Bombing,Government (Diplomatic)
Bombay,19.075984,72.877656,Bombing,Private Citizens & Property
Assam,26.200604,92.937574,Bombing,Transportation
New Dehli,28.613939,77.209021,Bombing,Airports & Aircraft
New Dehli,28.613939,77.209021,Bombing,Airports & Aircraft
Gauhati,26.144517,91.736237,Bombing,Private Citizens & Property
Assam State (Gauhati),26.181316,91.746494,Assassination,Government
New Delhi,28.613939,77.209021,Bombing,Private Citizens & Property
New Delhi,28.613939,77.209021,Bombing,Transportation
Assam,26.200604,92.937574,Bombing,Transportation
Gauhati,26.144517,91.736237,Bombing,Private Citizens & Property
Punjab (Harshowl Village),31.780193,75.451952,Assassination,Religious Figures/Institutions
"Mothawala (Kapurthala Dist.), Punjab",31.229522,75.303317,Assassination,Private Citizens & Property
Punjab (at Quadian),31.819064,75.37911,Armed Assault,Private Citizens & Property
Punjab,31.147131,75.341218,Bombing,Private Citizens & Property
Balto Bazar,34.564007,76.125835,Bombing,Private Citizens & Property
Gauhati,26.144517,91.736237,Bombing,Private Citizens & Property
Gauhati,26.144517,91.736237,Bombing,Private Citizens & Property
Gauhati,26.144517,91.736237,Bombing,Transportation
Kampur,26.173494,92.661123,Bombing,Private Citizens & Property
Gauhati,26.144517,91.736237,Bombing,Maritime
Amristar (Punjab),31.633979,74.872264,Assassination,Police
Sultanpuri Lodhi (Kapurthala District),31.214128,75.195393,Assassination,Religious Figures/Institutions
Jullundur,31.326015,75.576183,Bombing,Private Citizens & Property
Punjab (Muktsar),30.476639,74.511172,Assassination,Police
Jullundur,31.326015,75.576183,Bombing,Religious Figures/Institutions
Ludhiana Dist,30.900965,75.857276,Assassination,Police
Amritsar,31.633979,74.872264,Assassination,Private Citizens & Property
Amritsar,31.633979,74.872264,Assassination,Police
Delhi,28.613939,77.209021,Bombing,Business
Delhi,28.613939,77.209021,Bombing,Business
New Delhi,28.613939,77.209021,Bombing,Transportation
Taran Taran,31.461673,74.926723,Assassination,Police
Chandigarh,30.733315,76.779418,Bombing,Private Citizens & Property
Chandigarh,30.733315,76.779418,Bombing,Police
Chandigarh,30.733315,76.779418,Bombing,Police
Assam,26.200604,92.937574,Bombing,Transportation
Amritsar,31.633979,74.872264,Assassination,Private Citizens & Property
New Delhi,28.613939,77.209021,Assassination,Government (Diplomatic)
Assam,26.200604,92.937574,Bombing,Transportation
Gauhati,26.144517,91.736237,Bombing,Police
Punjab,31.147131,75.341218,Kidnapping,Transportation
Gauhati,26.144517,91.736237,Assassination,Government
Jullundur town,31.326015,75.576183,Assassination,Government
Punjab,31.147131,75.341218,Assassination,Private Citizens & Property
Punjab,31.147131,75.341218,Bombing,Private Citizens & Property
Punjab,31.147131,75.341218,Assassination,Private Citizens & Property
Tripura,23.940848,91.988153,Armed Assault,Military
"Dimapur, Nagaland",25.862989,93.753666,Assassination,Government
Punjab,31.147131,75.341218,Assassination,Police
Punjab,31.147131,75.341218,Armed Assault,Police
Bhatinda town,30.210994,74.945475,Infrastructure Attack,Religious Figures/Institutions
Bhatinda town,30.210994,74.945475,Infrastructure Attack,Religious Figures/Institutions
Bhatinda town,30.210994,74.945475,Infrastructure Attack,Religious Figures/Institutions
Amritsar,31.633979,74.872264,Bombing,Police
Hoshiarpur,31.514318,75.911483,Bombing,Religious Figures/Institutions
Pheowal village,29.981417,76.589277,Armed Assault,Private Citizens & Property
Punjab,31.147131,75.341218,Armed Assault,Private Citizens & Property
Amritsar,31.633979,74.872264,Bombing,Religious Figures/Institutions
Punjab,31.147131,75.341218,Bombing,Transportation
Punjab (Zerozepur dist),30.680516,74.761229,Assassination,Religious Figures/Institutions
Punjab,31.147131,75.341218,Assassination,Private Citizens & Property
Punjab,31.147131,75.341218,Bombing,Police
