Sikh Extremists,Bhikhowal,33,31.608189,75.863562
Mazdoor Kisan Sangram Samiti (MKSS),Bhimpura,1,26.032726,83.766387
Rival Activists,"Bhojpur, Bihar",2,25.466155,84.522219
Sikh Extremists,Bhuduwalla,33,31.447062,75.310606
Rival Activists,Bihar,2,25.096074,85.313119
Guerrillas,Bihar State,1,25.300691,85.681963
Jharkhand Tribal Forces,Bihar State,1,25.300691,85.681963
Maoist Communist Center (MCC),Bihar state,3,25.300691,85.681963
Maoists,Bihar State,2,25.300691,85.681963
Muslim Militants,Bihar State,20,25.300691,85.681963
Party Unity,Bihar state,1,25.300691,85.681963
Sikh Extremists,Bihar State,33,25.300691,85.681963
Kashmiri Militants,Bijbehara,27,33.786899,75.099576
Muslim Separatists,"Bijbehara Town, Jammu and Kashmir State",19,33.786899,75.099576
United Liberation Front of Assam (ULFA),Bijni,14,26.494386,90.701032
Bodo Militants,Bilasipara,11,26.22976,90.230403
Sikh Extremists,Bilaspur,33,22.079625,82.139141
Kuki Tribal Militants,Bishnapur,1,24.63036,93.759829
Naga People,Bishnapur,2,24.63036,93.759829
Hindu Group,Bombay,2,19.075984,72.877656
Mujahideen Kashmir,Bombay,3,19.075984,72.877656
Muslim Militants,Bombay,20,19.075984,72.877656
Organized Crime,Bombay,1,19.075984,72.877656
Sikh Extremists,Bombay,33,19.075984,72.877656
Sinhalese Militants,Bombay,1,19.075984,72.877656
Dima Halao Daoga (DHD),Cachar District,2,24.782125,92.85771
Congress Party Activists,Calcutta,1,22.572646,88.363895
Hindu Group,Calcutta,2,22.572646,88.363895
Justice and Liberty Warriors,Calcutta,1,22.572646,88.363895
Muslim Militants,Calcutta,20,22.572646,88.363895
Other,Calcutta,2,22.572646,88.363895
Sikh Extremists,Chabal Village,33,30.915812,76.989906
Sikh Extremists,Chandigargh,33,30.733315,76.779418
Babbar Khalsa International (BKI),Chandigarh,1,30.733315,76.779418
Other,Chandigarh,2,30.733315,76.779418
Sikh Extremists,Chandigarh,33,30.733315,76.779418
Hizbul Mujahideen (HM),Charar-e-Shariet,5,33.8629,74.766298
National Liberation Front of Tripura (NLFT),Chawmanu,1,23.851597,91.993047
Lashkar-e-Taiba (LeT),Chenani,2,33.035542,75.285157
Other,Chennai,2,13.08268,80.270718
People's War Group (PWG),Chintapalli,2,16.691681,80.139369
Kuki tribesmen,Churachandpur D,1,24.342749,93.697826
Tribal Group,Churachandpur D,20,24.342749,93.697826
Kuki tribesmen,Churachandpur D.,1,24.342749,93.697826
Sikh Extremists,Churchak Village,33,11.412475,76.704514
Al Ummah,Coimbatore,12,11.016845,76.955832
Other,Coimbatore,2,11.016845,76.955832
Sikh Extremists,Dalwandi Bhai,33,30.857561,74.926723
People's War Group (PWG),Damara,2,20.795331,86.896659
Naxalites,Dantewada District,3,18.84563,81.383933
Sikh Extremists,Dariba,33,24.956299,74.12106
Bodo Militants,Darrang D.,11,26.452288,92.027319
United Liberation Front of Assam (ULFA),Darrang District,14,26.634446,92.794666
Sikh Extremists,Daurpur,33,32.300134,75.885346
Muslim Militants,Davangeri,20,14.466344,75.92384
Al Hadid,Dehli,2,21.566381,73.220507
Kashmiri Militants,Dehli,27,21.566381,73.220507
Khalistan Liberation Force,Delhi,3,28.613939,77.209021
Sikh Extremists,Delhi,33,28.613939,77.209021
Sikh Extremists,Dhadhoi,33,25.38727,82.568031
All Tripura Tiger Force (ATTF),Dhalai District,2,23.846698,91.909924
Bodo Liberation Tigers (BLT),Dhamdhama,1,26.556292,91.47973
Naxalites,Dharampuram,3,20.54014,73.179212
United Liberation Front of Assam (ULFA),Dholabari,14,26.668886,92.812846
United Liberation Front of Assam (ULFA),"Dhubri, Assam",14,26.020698,89.974346
Muslim Separatists,Digiana,19,32.68712,74.857291
Naga Students Federation,Dimapur,1,25.862989,93.753666
Separatists,"Dimapur, Nagaland",9,25.862989,93.753666
National Socialist Council of Nagaland,"Dimapur, Nageland",1,25.862989,93.753666
Sikh Extremists,Dimtal village,33,16.19195,77.371309
Hindu Group,Dobaka,2,26.116468,92.86374
Muslim Militants,Doda,20,33.14575,75.548049
People's War Group (PWG),Donkarayi,2,17.929636,81.799206
United Liberation Front of Assam (ULFA),Duliajan,14,27.357212,95.32225
People's War Group (PWG),East Godavari Forest,2,17.0228,81.836098
Sikh Extremists,Faridkot,33,30.678187,74.739559
Sikh Extremists,Fatahpur,33,25.920074,80.809994
Sikh Extremists,Ferozepore,33,30.933135,74.622476
Sikh Extremists,Ferozepur,33,30.933135,74.622476
All Tripura Tiger Force (ATTF),Ganda Basti,2,26.180602,91.761792
Kashmiri Militants,Ganderbal,27,34.32984,75.014382
Bhinderanwale Tiger Force of Khalistan (BTHK),Gatta Badshah,2,31.143567,74.906262
Bodo Militants,Gauhati,11,26.144517,91.736237
United Liberation Front of Assam (ULFA),Gauhati,14,26.144517,91.736237
Muslim Militants,Gizzer Village,20,33.062575,-112.022795
Villagers,Goa,1,15.299327,74.123996
Sikh Extremists,Golwar,33,26.218287,78.182831
United Liberation Front of Assam (ULFA),Gonpur,14,24.065405,87.67414
Sikh Extremists,Goraya,33,31.124018,75.777846
Bodo Militants,Goreshwar,11,26.532855,91.72955
National Democratic Front of Bodoland (NDFB),"Gossaigaon, Assam",5,26.437091,89.976679
People's War Group (PWG),Gudur,2,14.146319,79.850389
Maoists,Gujarat,2,22.258652,71.192381
Muslim Militants,Gujarat,20,22.258652,71.192381
Kashmiri Militants,Gulmarg,27,34.047561,74.385356
Sikh Extremists,Gurbux Nagar,33,31.618017,74.858006
Bhinderanwale Tiger Force of Khalistan (BTHK),Gurdaspur,2,32.041942,75.405337
Sikh Extremists,Gurdaspur,33,32.041942,75.405337
Sikh Extremists,Gurdaspur District,33,31.940009,75.247906
Bodo Militants,Guwahati,11,26.144517,91.736237
Dima Halao Daoga (DHD),Guwahati,2,26.144517,91.736237
National Democratic Front of Bodoland (NDFB),Guwahati,5,26.144517,91.736237
United Liberation Front of Assam (ULFA),Guwahati,14,26.144517,91.736237
Sikh Extremists,Hadawadi,33,16.097871,74.332353
Other,Haflong,2,25.16331,93.012824
Sikh Extremists,Hajera,33,21.175488,72.677329
Al Faran,Hapatnar Village,1,33.760419,75.210008
United Liberation Front of Assam (ULFA),Hathikulai,14,26.582206,93.411985
National Democratic Front of Bodoland (NDFB),Hatimura,5,25.971683,90.708153
Kashmiri Militants,Hazratbal,27,34.140771,74.838661
Muslim Militants,Hazratbul,20,34.140771,74.838661
Separatists,"Hazratbul, J+K",9,34.140771,74.838661
National Liberation Front of Tripura (NLFT),Hejamara,1,19.060795,72.830293
Other,Henglep,2,24.505816,93.504547
Kashmiri Militants,High Security Area of Srinagar,27,34.125541,74.944258
Sikh Extremists,Hoshiapur,33,31.514318,75.911483
Political Group,Howrah District *,1,22.584997,88.347155
People's War Group (PWG),Huzurabad,2,18.201894,79.396708
Muslim Militants,Hyderabad,20,17.385044,78.486671
People's War Group (PWG),Hyderabad,2,17.385044,78.486671
People's Liberation Army (India),"Imphal, Manipur",5,24.817011,93.936844
Separatists,"Imphal, Manipur",9,24.817011,93.936844
Naga People,"Imphal, Manipur State",2,24.808104,93.937485
Hindu Group,"Indore, Madhya Pradesh State",2,22.432839,75.719831
Muslim Separatists,J + K,19,20.593684,78.96288
Separatists,J&K,9,23.16983,81.940439
Sikh Extremists,Jaflan,33,28.649332,77.221769
Sikh Extremists,Jagraon,33,30.791551,75.469429
Sikh Extremists,Jagraun,33,30.791551,75.469429
Harkat ul Ansar,Jaipur,4,26.912434,75.787271
Muslim Militants,Jaipur,20,26.912434,75.787271
United Liberation Front of Assam (ULFA),Jaipur,14,26.912434,75.787271
Khalistan Commando Force,"Jaipur, Rasasthanj State",1,26.893229,75.813038
Sikh Extremists,Jalandhar,33,31.326015,75.576183
Sikh Extremists,Jalandhar-Amritsar,33,31.108464,75.052779
Sikh Extremists,Jallundhur,33,31.326015,75.576183
Harkat ul Ansar,Jammu,4,32.721782,74.857654
Kashmiri Militants,Jammu,27,32.721782,74.857654
Khalistan Zindabad (Long Live Khalistan),Jammu,2,32.721782,74.857654
Minority Unity Forum,Jammu,1,32.721782,74.857654
Muslim Militants,Jammu,20,32.721782,74.857654
Muslim Separatists,Jammu,19,32.721782,74.857654
Sikh Extremists,Jammu,33,32.721782,74.857654
Muslim Militants,Jammu and Kashmir State,20,32.780174,74.828892
Muslim Separatists,Jammu and Kashmir State,19,32.780174,74.828892
Hizbul Mujahideen (HM),Jammu Kashmir State,5,32.780174,74.828892
Muslim Militants,Jammu Kashmir State,20,32.780174,74.828892
Kashmiri Militants,"Jammu, Jammu Kashmir State",27,32.780174,74.828892
Jharkhand Tribal Forces,Jamshedpur,1,22.804567,86.202875
Sikh Extremists,Jatana,33,30.922145,76.411473
Maoist Farm Laborers Struggle Committee (MXSS),Jehanabad,1,25.213929,84.989555
Sikh Extremists,Jhabbal,33,31.243004,77.006966
United Liberation Front of Assam (ULFA),Jorhat,14,26.74652,94.202586
Sikh Extremists,Jullundhur,33,31.326015,75.576183
Sikh Extremists,Jullundur,33,31.326015,75.576183
Ranbir Sena,Kab,1,31.79903,78.64342
Bodo Liberation Tigers (BLT),Kachugaon,1,26.535063,93.98274
National Democratic Front of Bodoland (NDFB),Kalakuchi,5,26.265426,91.63504
Separatists,"Kalyanpur, Tripura",9,23.931907,91.606885
People's War Group (PWG),Kamarapally,2,18.835245,78.510708
Sikh Extremists,Kamoke Village,33,31.975507,74.223802
Kashmiri Militants,Kangan,27,34.263216,74.904801
Kashmiri Militants,Kanjinag Village,27,33.909468,75.030143
Rival caste,Kanmaipatti District,2,10.043617,78.0454
People's War Group (PWG),Karakagudem,2,18.038345,80.604937
Other,Kargil District,2,11.274819,77.601215
People's War Group (PWG),Karimanagar Dist Andhra Predos,2,18.389034,79.13986
Naxalites,Karimnagar Distr Andhra Pradesh,3,18.389034,79.13986
Naxalites,Karimnagar District,3,18.596239,79.290213
Muslim Separatists,Karmuwal,19,30.916931,74.819276
Sikh Extremists,Karnal District,33,29.781992,76.91821
Muslim Rebels,Kashmir,1,33.778175,76.576171
Moslem Janbaz Force,Kashmir State,2,32.780174,74.828892
Muslim Militants,Kashmir State,20,32.780174,74.828892
Bodo Militants,"Kathalbari, Assam",11,25.677579,89.880915
Sikh Extremists,Khaberajputan,33,31.672482,75.281447
Sikh Extremists,Khanna area,33,22.591581,88.375526
Sikh Extremists,Kharacho,33,26.158388,84.009794
Sikh Extremists,Kharar,33,30.748882,76.641358
Sikh Extremists,Kila Raipur,33,30.762428,75.82289
Naxalites,Kila Shahpur,3,15.867388,74.526554
Muslim Separatists,Kishtwar,19,33.519359,75.899867
