source,target,CountOfattacktype1_txt
Adavali,Armed Assault,1
Adukkamparai,Assassination,1
Agarpara,Assassination,1
Agartala,Armed Assault,1
Agartala,Bombing/Explosion,1
Agra,Bombing/Explosion,1
Aheri,Armed Assault,1
Ahiapur,Hostage Taking (Barricade Incident),1
Aigejang,Armed Assault,1
Airkata,Bombing/Explosion,1
Aizawl,Bombing/Explosion,4
Ajgari,Bombing/Explosion,1
Ajmer,Bombing/Explosion,1
Akash Nagar,Armed Assault,1
Akhnoor,Armed Assault,1
Aldandi,Bombing/Explosion,1
Alipurduar,Bombing/Explosion,2
Allahabad,Bombing/Explosion,2
Alubaka,Facility/Infrastructure Attack,1
Amaluma,Hostage Taking (Kidnapping),1
Amarut,Armed Assault,1
Amas,Armed Assault,1
Ambabhona,Facility/Infrastructure Attack,1
Ambasaramunda,Bombing/Explosion,1
Ambatanr,Bombing/Explosion,1
Ambatikar,Armed Assault,1
Amkola,Assassination,1
Amrapara,Armed Assault,1
Amrapara,Bombing/Explosion,1
Amrui,Bombing/Explosion,1
Amuatikar,Armed Assault,1
Amuatikar,Bombing/Explosion,1
Anantnag,Armed Assault,3
Anantnag,Bombing/Explosion,5
Anantnag district,Armed Assault,1
Andro,Assassination,1
Andro,Bombing/Explosion,1
Ankadeli,Facility/Infrastructure Attack,1
Annasagaram,Facility/Infrastructure Attack,1
Antagarh,Bombing/Explosion,1
Arambagh,Bombing/Explosion,1
Araria,Bombing/Explosion,1
Arauri,Facility/Infrastructure Attack,1
Arengdo,Armed Assault,1
Arnia,Armed Assault,1
Aroli,Armed Assault,1
Arrah,Assassination,1
Arwani,Armed Assault,1
Asagoan,Armed Assault,1
Asansol,Armed Assault,1
Asansol,Bombing/Explosion,1
Asurabandha,Bombing/Explosion,1
Athiabari,Armed Assault,1
Aurangabad,Armed Assault,1
Aurangabad,Bombing/Explosion,8
Aurangabad,Facility/Infrastructure Attack,6
Aurangabad,Hostage Taking (Kidnapping),2
Aurangabad district,Armed Assault,1
Aurangabad district,Bombing/Explosion,4
Aurangabad district,Facility/Infrastructure Attack,1
Aurangabad district,Hostage Taking (Barricade Incident),1
Avaniyapuram,Armed Assault,1
Avarampalayam,Facility/Infrastructure Attack,1
Awang Khunnou Salang Sabal,Bombing/Explosion,1
Awang Wabagai,Bombing/Explosion,1
Awantipora,Armed Assault,4
Awantipora,Assassination,1
Awapalli,Armed Assault,1
Awapalli,Bombing/Explosion,1
Awek,Armed Assault,1
Awneera,Armed Assault,1
Ayatpur,Bombing/Explosion,1
Azad Gunj,Bombing/Explosion,1
Azadgunj,Bombing/Explosion,1
Bacheli,Armed Assault,1
Badapada,Assassination,1
Badarpanga,Bombing/Explosion,1
Badgund,Hostage Taking (Barricade Incident),1
Badildih,Hostage Taking (Kidnapping),1
Badiliguda,Hostage Taking (Kidnapping),2
Badlapur,Assassination,1
Badtunda,Armed Assault,1
Badural,Hostage Taking (Kidnapping),1
Bage Bar,Bombing/Explosion,1
Baghmara,Hostage Taking (Kidnapping),1
Baghmundi,Assassination,1
Bagli,Armed Assault,1
Bahraich,Facility/Infrastructure Attack,1
Bailadilla,Facility/Infrastructure Attack,1
Baipariguda,Hostage Taking (Kidnapping),1
Bajragada,Bombing/Explosion,1
Bakewar,Armed Assault,1
Baksa,Armed Assault,1
Baksa district,Hostage Taking (Kidnapping),1
Bakuliaghat,Bombing/Explosion,1
Bala,Bombing/Explosion,1
Balangir,Facility/Infrastructure Attack,1
Balapara,Armed Assault,1
Baleguda,Hostage Taking (Kidnapping),1
Baleshbahali,Facility/Infrastructure Attack,1
Balichanda,Facility/Infrastructure Attack,11
Balimela,Facility/Infrastructure Attack,1
Balimela,Hostage Taking (Kidnapping),1
Balipeta,Armed Assault,1
Balnoi,Bombing/Explosion,1
Balrampur,Armed Assault,1
Balthara village,Hostage Taking (Kidnapping),1
Balumath,Facility/Infrastructure Attack,1
Banasai,Armed Assault,1
Bande,Armed Assault,1
Bandgaon,Armed Assault,1
Bandgaon,Assassination,1
Bandhagaon,Armed Assault,1
Bandhugam,Bombing/Explosion,1
Bandhugaon,Armed Assault,2
Bandhugaon,Bombing/Explosion,1
Bandhugaon,Facility/Infrastructure Attack,1
Bandhugaon,Hostage Taking (Kidnapping),2
Bandipore,Armed Assault,2
Bandlapalli,Bombing/Explosion,1
Bandua,Hostage Taking (Kidnapping),1
Bandugan,Hostage Taking (Kidnapping),1
Bandugaon,Facility/Infrastructure Attack,1
Bandwan,Unarmed Assault,1
Bangalore,Bombing/Explosion,2
Banka,Armed Assault,2
Banka,Hostage Taking (Kidnapping),2
Banka,Unarmed Assault,1
Bankura,Armed Assault,4
Bankura,Facility/Infrastructure Attack,2
Bankura,Hostage Taking (Kidnapping),3
Bansamawe,Armed Assault,1
Banswara,Hostage Taking (Kidnapping),1
Bapanpalli,Hostage Taking (Kidnapping),1
Barabadha,Armed Assault,1
Barachatti,Bombing/Explosion,1
Baragada,Facility/Infrastructure Attack,1
Baramulla,Armed Assault,10
Baramulla,Bombing/Explosion,4
Baramulla district,Armed Assault,1
Barang,Hostage Taking (Kidnapping),1
Barari,Armed Assault,1
Bardhaman district,Assassination,1
Bargarh,Facility/Infrastructure Attack,1
Barhaula,Facility/Infrastructure Attack,1
Barhi,Assassination,1
Baridih,Bombing/Explosion,1
Barkot,Bombing/Explosion,2
Barobisha,Bombing/Explosion,1
Barpeta,Armed Assault,1
Barpeta,Bombing/Explosion,2
Barwadih,Bombing/Explosion,1
Basaguda,Armed Assault,1
Basaguda,Assassination,1
Bashirhat,Armed Assault,1
Baska,Armed Assault,1
Bastar,Armed Assault,2
Bastar,Bombing/Explosion,4
Bastar,Hostage Taking (Kidnapping),1
Bastar district,Armed Assault,1
Bastar district,Facility/Infrastructure Attack,4
Basuachak,Bombing/Explosion,1
Basugaon,Bombing/Explosion,1
Batabori,Bombing/Explosion,1
Batachipur,Armed Assault,1
Bataloka,Unarmed Assault,1
Batamaloo,Armed Assault,1
Batmaloo,Bombing/Explosion,1
Bayanar,Facility/Infrastructure Attack,1
Bedre,Armed Assault,1
Begundihi,Bombing/Explosion,1
Begusarai,Bombing/Explosion,1
Beheraguda,Facility/Infrastructure Attack,1
Behiang,Bombing/Explosion,2
Bejangiwada,Hostage Taking (Kidnapping),1
Beleswar,Bombing/Explosion,1
Belgaon,Armed Assault,1
Beliabera,Armed Assault,1
Belpahari,Armed Assault,1
Belpahari,Unarmed Assault,1
Bemina,Armed Assault,1
Bemina,Bombing/Explosion,1
Bengaluru,Bombing/Explosion,1
Bengenakhowa,Bombing/Explosion,1
Bengtol,Hostage Taking (Kidnapping),1
Berhampur,Bombing/Explosion,1
Betagaon,Hostage Taking (Kidnapping),1
Betul,Assassination,1
Bhadrachalam,Facility/Infrastructure Attack,1
Bhagalpur,Bombing/Explosion,2
Bhagalpur,Hostage Taking (Kidnapping),1
Bhagalpur district,Bombing/Explosion,2
Bhalukjhora,Armed Assault,1
Bhamragad,Bombing/Explosion,1
Bhamragarh,Armed Assault,1
Bhanga,Assassination,1
Bhanjanagar,Bombing/Explosion,1
Bhanpuri,Bombing/Explosion,1
Bhansi,Bombing/Explosion,1
Bharathinagar,Facility/Infrastructure Attack,1
Bharuamunda,Hostage Taking (Kidnapping),1
Bhashikhong,Bombing/Explosion,1
Bhatiapar,Bombing/Explosion,1
Bhatpar,Armed Assault,1
Bhejangiwada,Bombing/Explosion,1
Bhendatungri,Armed Assault,1
Bhitia,Bombing/Explosion,1
Bhojo,Bombing/Explosion,1
Bhopal,Armed Assault,1
Bhowraguri,Armed Assault,1
Bhubaneswar,Bombing/Explosion,1
Bhubanpalli,Armed Assault,1
Bhuliabandh,Armed Assault,1
Bhulsumia,Bombing/Explosion,1
Bigha,Bombing/Explosion,8
Bijapur,Armed Assault,12
Bijapur,Assassination,3
Bijapur,Bombing/Explosion,8
Bijapur,Facility/Infrastructure Attack,2
Bijapur,Hijacking,1
Bijapur,Hostage Taking (Barricade Incident),1
Bijapur,Hostage Taking (Kidnapping),11
Bijapur district,Armed Assault,8
Bijapur district,Bombing/Explosion,5
Bijapur district,Hostage Taking (Kidnapping),2
Bijbehara,Armed Assault,1
Bijbehara,Bombing/Explosion,4
Bijehara,Bombing/Explosion,1
Bijepar,Armed Assault,1
Bijni,Bombing/Explosion,4
Bijni,Hostage Taking (Kidnapping),1
Bikrampur,Assassination,1
Biliguda,Armed Assault,1
Binihal and Qazigund,Bombing/Explosion,1
Birbhum,Assassination,1
Birbhum district,Bombing/Explosion,1
Bishenpur,Bombing/Explosion,9
Bishenpur,Facility/Infrastructure Attack,1
Bishenpur district,Bombing/Explosion,1
Bishnupur,Armed Assault,1
Bishnupur,Bombing/Explosion,1
Bishnupur,Facility/Infrastructure Attack,1
Bishnupur,Hostage Taking (Kidnapping),2
Bishuram Basti,Hostage Taking (Kidnapping),1
Bitkilsoya,Bombing/Explosion,1
Bochahan,Armed Assault,1
Bodai,Bombing/Explosion,1
Bodari,Bombing/Explosion,1
Bodh Gaya,Bombing/Explosion,6
Bodhrajpada,Bombing/Explosion,1
Bodocheka,Facility/Infrastructure Attack,2
Bogul,Assassination,1
Bojhait,Bombing/Explosion,1
Bokajan,Bombing/Explosion,1
Bokaro,Armed Assault,2
Bokaro,Bombing/Explosion,9
Bokaro,Hostage Taking (Kidnapping),3
Bokaro district,Armed Assault,1
Bokaro district,Bombing/Explosion,4
Bokkingre,Facility/Infrastructure Attack,2
Bokob,Armed Assault,1
Bokojan,Armed Assault,1
Boldak Ading,Hostage Taking (Kidnapping),1
Bollonggre Apal,Armed Assault,1
Bomia,Assassination,1
Boncherra,Facility/Infrastructure Attack,1
Bongaigaon,Bombing/Explosion,5
Bongaigaon,Hostage Taking (Kidnapping),2
Bongaigaon district,Bombing/Explosion,1
Bongyang,Bombing/Explosion,1
Bordumsa,Bombing/Explosion,2
Bouserkuti,Armed Assault,1
Budgam,Armed Assault,2
Budhaniya,Hostage Taking (Kidnapping),1
Budhauli,Armed Assault,1
Bulandshar,Assassination,1
Burkapal,Armed Assault,1
Buxar,Facility/Infrastructure Attack,1
Calicut (kozhikode),Bombing/Explosion,1
Calicut (kozhikode),Facility/Infrastructure Attack,1
Chadoora,Armed Assault,1
Chainpur,Armed Assault,2
Chairen,Bombing/Explosion,1
Chak Mangu,Bombing/Explosion,1
Chandel,Armed Assault,3
Chandel,Bombing/Explosion,2
Chandel district,Bombing/Explosion,2
Chandel district,Hostage Taking (Kidnapping),1
Chandigarh,Armed Assault,1
Chandil,Armed Assault,1
Chandra Nagar,Facility/Infrastructure Attack,2
Chandrapura,Bombing/Explosion,1
Chandwa,Bombing/Explosion,1
Changangei,Assassination,1
Changangei,Bombing/Explosion,1
Channapora Bridge,Bombing/Explosion,1
Chapagedda,Bombing/Explosion,3
Chapaguri,Bombing/Explosion,1
Charduar,Hostage Taking (Kidnapping),1
Chargi,Bombing/Explosion,1
Chasang,Hostage Taking (Kidnapping),1
Chasingre,Armed Assault,2
Chatargach,Bombing/Explosion,1
Chatra,Armed Assault,5
Chatra,Bombing/Explosion,6
Chatra,Facility/Infrastructure Attack,6
Chatra,Hostage Taking (Kidnapping),2
Chatra district,Bombing/Explosion,2
Chatra district,Facility/Infrastructure Attack,1
Chauliaganj,Bombing/Explosion,1
Chawmanu,Hostage Taking (Kidnapping),1
Chegro,Bombing/Explosion,1
Chennai,Armed Assault,1
Chennai,Assassination,1
Chennai,Bombing/Explosion,2
Chennai,Facility/Infrastructure Attack,2
Cherthala,Bombing/Explosion,1
Chetag,Bombing/Explosion,1
