source,target,CountOfattacktype1_txt
Chhapra,Bombing/Explosion,1
Chhota Nagra,Armed Assault,1
Chibinang,Hostage Taking (Kidnapping),1
Chidabaram,Bombing/Explosion,1
Chigitchakgre,Armed Assault,1
Chilpara,Armed Assault,1
Chindgarh,Bombing/Explosion,1
Chindpal,Bombing/Explosion,1
Chingai,Hostage Taking (Kidnapping),1
Chinglangmei,Hostage Taking (Kidnapping),1
Chingmeirong,Bombing/Explosion,1
Chintagufa,Armed Assault,4
Chintalnar,Bombing/Explosion,1
Chintanwada,Hostage Taking (Kidnapping),1
Chintapalle,Bombing/Explosion,1
Chintapalle,Hostage Taking (Kidnapping),1
Chirakhuti,Bombing/Explosion,1
Chirang,Armed Assault,1
Chirang,Bombing/Explosion,1
Chirang,Hostage Taking (Kidnapping),1
Chirang district,Armed Assault,2
Chirang district,Bombing/Explosion,1
Chirang district,Hostage Taking (Kidnapping),3
Chiringpara,Hostage Taking (Kidnapping),1
Chiripar,Bombing/Explosion,1
Chirodih,Armed Assault,1
Chitrakonda,Armed Assault,1
Chittarpur,Bombing/Explosion,1
Chokpot,Armed Assault,3
Chokpot,Bombing/Explosion,2
Chokpot,Hostage Taking (Kidnapping),1
Chola,Assassination,1
Chota Baghara,Bombing/Explosion,1
Chuku,Hostage Taking (Kidnapping),1
Chulabhat,Facility/Infrastructure Attack,1
Chunar,Bombing/Explosion,1
Churachandpur,Armed Assault,2
Churachandpur,Bombing/Explosion,1
Churachandpur district,Armed Assault,1
Churachandpur district,Bombing/Explosion,2
Churanchandpur,Hostage Taking (Kidnapping),1
Chushul,Bombing/Explosion,1
Cone village,Bombing/Explosion,1
Cuttack,Bombing/Explosion,2
Dabinggre,Armed Assault,1
Dabnahi,Bombing/Explosion,2
Dabra,Assassination,1
Dadenggre,Hostage Taking (Kidnapping),1
Dadengre,Armed Assault,1
Dadigutu,Armed Assault,1
Dadsara,Armed Assault,1
Dainadubi,Bombing/Explosion,2
Daitari,Bombing/Explosion,1
Dalagra,Bombing/Explosion,1
Daldalkuhi,Hostage Taking (Kidnapping),1
Dalgaon,Bombing/Explosion,1
Daliam,Bombing/Explosion,1
Dalu,Hostage Taking (Kidnapping),1
Damanjodi,Armed Assault,1
Damanjodi,Assassination,1
Dambuk Aga,Hostage Taking (Kidnapping),1
Damparengpui,Hostage Taking (Kidnapping),1
Damra,Bombing/Explosion,1
Danapur,Bombing/Explosion,1
Dangia,Armed Assault,1
Dantewada,Armed Assault,27
Dantewada,Assassination,2
Dantewada,Bombing/Explosion,16
Dantewada,Facility/Infrastructure Attack,10
Dantewada,Hostage Taking (Kidnapping),1
Dantewada district,Armed Assault,1
Dantewada district,Bombing/Explosion,4
Dantewada district,Facility/Infrastructure Attack,5
Dantewara,Bombing/Explosion,1
Dantewara,Hostage Taking (Kidnapping),1
Darabhaguda,Bombing/Explosion,1
Darbha,Armed Assault,1
Darbha,Assassination,1
Darbhanga,Hostage Taking (Kidnapping),1
Dariapur,Bombing/Explosion,1
Darimgre,Armed Assault,1
Daringbadi,Hostage Taking (Kidnapping),1
Darpora,Armed Assault,1
Dasanapura,Assassination,1
Dasini,Hostage Taking (Kidnapping),1
Dasmantpur,Armed Assault,1
Daundih,Bombing/Explosion,1
Delhi,Assassination,1
Dema,Bombing/Explosion,2
Deoghar,Bombing/Explosion,1
Deomali,Hostage Taking (Kidnapping),1
Devapur-Khoripakar Ghat,Bombing/Explosion,1
Dhabatar,Hostage Taking (Kidnapping),1
Dhalai,Hostage Taking (Kidnapping),1
Dhalai district,Armed Assault,1
Dhalai district,Bombing/Explosion,2
Dhalai district,Hostage Taking (Kidnapping),4
Dhalbhumgarh,Armed Assault,1
Dhanbad,Bombing/Explosion,1
Dhanbad,Hostage Taking (Kidnapping),1
Dhanbad district,Facility/Infrastructure Attack,1
Dhangai,Facility/Infrastructure Attack,1
Dhanora,Armed Assault,3
Dhanora,Bombing/Explosion,2
Dharambandha,Bombing/Explosion,2
Dharmapuri,Bombing/Explosion,1
Dhekiajuli,Armed Assault,1
Dhekiajuli,Bombing/Explosion,2
Dhemaji,Bombing/Explosion,1
Dhubri,Armed Assault,1
Dhubri,Bombing/Explosion,4
Dhurki,Armed Assault,1
Dhurli,Assassination,1
Dibrugarh,Bombing/Explosion,3
Dibrugarh,Facility/Infrastructure Attack,1
Digboi,Bombing/Explosion,2
Dikadla,Assassination,1
Dima Hasao,Bombing/Explosion,3
Dima Hasao district,Hostage Taking (Kidnapping),1
Dimalgaon,Bombing/Explosion,1
Dimapur,Armed Assault,1
Dimapur,Bombing/Explosion,5
Dimapur,Hostage Taking (Kidnapping),1
Dimapur district,Hostage Taking (Kidnapping),1
Dingdinga,Hostage Taking (Kidnapping),1
Diphu,Armed Assault,1
Diphu,Hostage Taking (Kidnapping),1
Doda,Bombing/Explosion,1
Dogri Pora,Armed Assault,2
Dokasaram,Hostage Taking (Kidnapping),1
Dolaithabi,Hostage Taking (Kidnapping),1
Doom Dooma,Bombing/Explosion,2
Dornapal,Armed Assault,1
Dornapal,Bombing/Explosion,1
Drugmulla,Armed Assault,1
Duarmara,Armed Assault,1
Dudhnoi,Bombing/Explosion,4
Dudhnoi,Hostage Taking (Kidnapping),1
Duleena,Armed Assault,1
Dumagon,Bombing/Explosion,1
Dumaria,Bombing/Explosion,3
Dumka,Armed Assault,2
Dumka district,Armed Assault,1
Dwimaguri,Hostage Taking (Kidnapping),1
East Champaran,Armed Assault,4
East Champaran,Bombing/Explosion,1
East Champaran,Facility/Infrastructure Attack,2
East Garo Hills,Armed Assault,6
East Garo Hills,Bombing/Explosion,2
East Garo Hills,Hostage Taking (Kidnapping),3
East Garo Hills,Unarmed Assault,1
East Garo Hills district,Armed Assault,2
East Garo Hills district,Assassination,1
East Garo Hills district,Bombing/Explosion,1
East Garo Hills district,Facility/Infrastructure Attack,1
East Godavari district,Hostage Taking (Kidnapping),1
East singhbhum,Armed Assault,9
East singhbhum,Bombing/Explosion,3
East singhbhum,Facility/Infrastructure Attack,1
East singhbhum,Hostage Taking (Kidnapping),1
Edenbari,Armed Assault,1
Ekara,Bombing/Explosion,1
Etapalli,Armed Assault,1
Etapalli,Bombing/Explosion,1
Faileng,Hostage Taking (Kidnapping),1
Fakiragram,Bombing/Explosion,1
Faraspal,Assassination,1
Faraspal,Bombing/Explosion,1
Fukrogora,Bombing/Explosion,1
Gadchirol,Armed Assault,1
Gadchirol,Assassination,1
Gadchirol,Bombing/Explosion,2
Gadchiroli,Armed Assault,20
Gadchiroli,Assassination,1
Gadchiroli,Bombing/Explosion,9
Gadchiroli,Facility/Infrastructure Attack,6
Gadchiroli,Hostage Taking (Kidnapping),12
Gadchiroli district,Armed Assault,3
Gadchiroli district,Assassination,2
Gadchiroli district,Bombing/Explosion,1
Gadiras,Facility/Infrastructure Attack,1
Gadtoli,Facility/Infrastructure Attack,1
Gaffabal,Armed Assault,1
Gaghra,Armed Assault,1
Gagran,Armed Assault,1
Gaighat,Facility/Infrastructure Attack,1
Gajalbadi,Facility/Infrastructure Attack,1
Gajapati,Armed Assault,2
Gajapati,Bombing/Explosion,1
Gajapati,Facility/Infrastructure Attack,3
Gajol,Bombing/Explosion,1
Gajole,Bombing/Explosion,1
Galandar Pampore,Armed Assault,1
Galudih,Bombing/Explosion,1
Gambhira Ghat,Bombing/Explosion,1
Gamharia,Bombing/Explosion,1
Gandachera,Armed Assault,1
Gandachera,Hostage Taking (Kidnapping),1
Gandacherra,Hostage Taking (Kidnapping),1
Gandiwani,Bombing/Explosion,1
Gangaloor,Bombing/Explosion,1
Gangalur,Armed Assault,1
Gangapur,Assassination,1
Ganjam,Armed Assault,1
ganjam,Bombing/Explosion,1
ganjam,Facility/Infrastructure Attack,1
Ganjemar,Bombing/Explosion,1
Gannavaram,Facility/Infrastructure Attack,1
Garampani,Bombing/Explosion,1
Gardewada,Assassination,1
Garhwa,Armed Assault,1
Garhwa,Bombing/Explosion,1
Garhwa,Facility/Infrastructure Attack,2
Garhwa,Hostage Taking (Kidnapping),1
Garo Hills,Armed Assault,2
Garo Hills district,Armed Assault,1
Garo Hills district,Bombing/Explosion,1
Garobadha,Armed Assault,1
Garwah,Armed Assault,3
Garwah,Bombing/Explosion,1
Garwah,Hostage Taking (Kidnapping),2
Gasbari,Bombing/Explosion,1
Gasuapara,Armed Assault,1
Gasuapara,Hostage Taking (Kidnapping),4
Gasupara,Hostage Taking (Kidnapping),1
Gatibeda,Hostage Taking (Kidnapping),1
Gauripur,Bombing/Explosion,1
Gaurnagar,Bombing/Explosion,1
Gaya,Armed Assault,4
Gaya,Bombing/Explosion,17
Gaya,Facility/Infrastructure Attack,16
Gaya,Hostage Taking (Kidnapping),10
Gaya,Unarmed Assault,1
Gaya district,Bombing/Explosion,3
Gaya district,Facility/Infrastructure Attack,1
Gaya district,Hostage Taking (Kidnapping),1
Gazole,Bombing/Explosion,1
Geedam,Bombing/Explosion,1
Geet,Bombing/Explosion,1
Gelmol,Bombing/Explosion,1
Gendabari,Armed Assault,1
Ghagara,Bombing/Explosion,1
Ghaghra,Hostage Taking (Kidnapping),1
Ghagwal,Bombing/Explosion,1
Ghari,Bombing/Explosion,1
Ghatbera,Hostage Taking (Kidnapping),1
Ghatshila,Bombing/Explosion,1
Ghatshila,Facility/Infrastructure Attack,1
Ghorparan,Hostage Taking (Kidnapping),1
Ghumra,Armed Assault,1
Giridh,Bombing/Explosion,1
Giridih,Armed Assault,4
Giridih,Bombing/Explosion,4
Giridih,Facility/Infrastructure Attack,1
Giridih,Hostage Taking (Kidnapping),1
Giridih district,Assassination,1
Giridih district,Bombing/Explosion,5
Goabari,Bombing/Explosion,1
Goalpara,Bombing/Explosion,7
Goalpara district,Bombing/Explosion,3
Goalpara district,Facility/Infrastructure Attack,5
Goaltore,Armed Assault,1
Goda,Bombing/Explosion,1
Godda,Bombing/Explosion,1
Goera Rongat,Armed Assault,2
Goh,Armed Assault,1
Goh,Bombing/Explosion,1
Goilkera,Facility/Infrastructure Attack,1
Golaghat,Bombing/Explosion,1
Golaghat,Hostage Taking (Kidnapping),2
Golaghat district,Facility/Infrastructure Attack,5
Golaghat district,Hostage Taking (Kidnapping),3
Golawand,Armed Assault,1
Gomati district,Hostage Taking (Kidnapping),1
Gomia,Armed Assault,1
Gomia,Bombing/Explosion,1
Gonda,Bombing/Explosion,1
Gondia,Armed Assault,1
Gondia,Facility/Infrastructure Attack,1
Goreswar,Armed Assault,1
Goreswar,Bombing/Explosion,2
Goripora,Assassination,1
Gorna,Armed Assault,1
Gossaigaon,Bombing/Explosion,2
Grahampur Bazar,Armed Assault,1
Greater Noida,Assassination,1
Grihang,Bombing/Explosion,1
Gudabeda,Bombing/Explosion,1
Gulab Bagh,Armed Assault,1
Gulab Singh Bowli,Bombing/Explosion,1
Gulalkandi,Assassination,1
Gulmarg,Armed Assault,1
Gulzarpora,Assassination,1
Gumia,Bombing/Explosion,1
Gumia,Unarmed Assault,1
Gumla,Armed Assault,7
Gumla,Bombing/Explosion,2
Gumla,Facility/Infrastructure Attack,3
Gumla,Hostage Taking (Kidnapping),2
Gumla district,Armed Assault,1
Gumla district,Facility/Infrastructure Attack,1
Gundahur,Bombing/Explosion,1
Gundijora,Bombing/Explosion,1
Guraru,Bombing/Explosion,1
Gurpa,Bombing/Explosion,1
Guwahati,Armed Assault,1
Guwahati,Bombing/Explosion,9
Gyarapatti,Armed Assault,1
Hadmamund,Bombing/Explosion,1
Haflong,Armed Assault,2
Haflong,Bombing/Explosion,4
Hahesarhi,Facility/Infrastructure Attack,1
Hailabandi,Hostage Taking (Kidnapping),1
Hailakandi,Bombing/Explosion,1
Hailakandi,Hostage Taking (Kidnapping),3
Hailakandi district,Hostage Taking (Kidnapping),1
Hakajang,Hostage Taking (Kidnapping),1
Hakripora,Assassination,1
Handwara,Armed Assault,3
Handwara,Bombing/Explosion,1
Handwara,Hostage Taking (Kidnapping),1
Hanumantpur,Hostage Taking (Kidnapping),1
Haollephai,Bombing/Explosion,1
Haoreibi,Bombing/Explosion,1
Hardshiva,Assassination,1
Hariharganj,Armed Assault,1
Harkhui,Bombing/Explosion,1
Harta,Assassination,1
Hatikhali,Hostage Taking (Kidnapping),1
Hazaribag,Armed Assault,3
Hazaribag,Bombing/Explosion,1
Hazaribag,Facility/Infrastructure Attack,3
Hazaribag district,Hostage Taking (Kidnapping),1
Hazaribagh,Hostage Taking (Kidnapping),1
Hedri,Armed Assault,1
Hehranj,Bombing/Explosion,1
Heingang,Bombing/Explosion,1
Heirok,Bombing/Explosion,1
Heirok Part I,Bombing/Explosion,1
Hensala,Hostage Taking (Kidnapping),1
Hesakocha,Hostage Taking (Kidnapping),1
Hesatu,Facility/Infrastructure Attack,1
Hiangtam,Bombing/Explosion,1
Hojai,Hostage Taking (Kidnapping),1
Howrah,Bombing/Explosion,3
Hundwara district,Armed Assault,1
Hunterganj,Bombing/Explosion,1
Hussaina Raghav,Bombing/Explosion,1
Hussainabad,Assassination,1
Hyderabad,Armed Assault,2
Hyderabad,Bombing/Explosion,3
Hyderpora,Armed Assault,1
Hyderpora,Bombing/Explosion,1
Hygam,Armed Assault,1
Idinthakarai,Bombing/Explosion,1
Imam Sahib,Armed Assault,1
Imam Sahib,Bombing/Explosion,1
Impahal,Bombing/Explosion,1
Imphal,Armed Assault,13
Imphal,Assassination,4
Imphal,Bombing/Explosion,151
Imphal,Facility/Infrastructure Attack,4
Imphal,Hijacking,1
Imphal,Hostage Taking (Kidnapping),5
Imphal East,Bombing/Explosion,12
Imphal West,Armed Assault,1
Imphal West,Bombing/Explosion,9
Imphal West district,Armed Assault,1
Imphal West district,Bombing/Explosion,3
Impui Basti,Bombing/Explosion,1
Ishuapur,Armed Assault,1
Itakhola,Bombing/Explosion,1
Itanagar,Assassination,1
Itanagar,Hostage Taking (Kidnapping),1
Itkhori,Armed Assault,1
Jabalpur,Facility/Infrastructure Attack,1
Jadarhaat,Bombing/Explosion,1
Jadogre,Hostage Taking (Kidnapping),1
Jaggaiahpet,Bombing/Explosion,1
Jagun,Armed Assault,1
Jaishidhi,Hostage Taking (Kidnapping),1
Jajpur,Bombing/Explosion,1
Jajpur,Facility/Infrastructure Attack,1
Jaksongram,Assassination,1
Jalandhar,Bombing/Explosion,1
Jaleshwar,Bombing/Explosion,2
Jalpaiguri,Bombing/Explosion,1
Jalukbari,Bombing/Explosion,2
Jamalpur,Hostage Taking (Kidnapping),1
Jambulghata,Hostage Taking (Kidnapping),1
Jammu,Bombing/Explosion,1
Jamnijara,Bombing/Explosion,1
Jamtara,Armed Assault,1
Jamui,Armed Assault,7
Jamui,Bombing/Explosion,14
Jamui,Facility/Infrastructure Attack,8
Jamui,Hostage Taking (Kidnapping),4
Jamui district,Bombing/Explosion,3
Jamui district,Facility/Infrastructure Attack,1
Jamuria,Bombing/Explosion,1
Janbazpora,Bombing/Explosion,1
Jangrapara,Hostage Taking (Kidnapping),1
Janiguda,Bombing/Explosion,1
Jaram,Facility/Infrastructure Attack,1
Jaranga,Bombing/Explosion,1
Jehanabad,Bombing/Explosion,1
Jehanabad,Facility/Infrastructure Attack,2
Jekabari,Hostage Taking (Kidnapping),1
Jemini,Facility/Infrastructure Attack,1
Jeypore,Bombing/Explosion,1
Jhara,Armed Assault,1
Jhargram,Armed Assault,1
Jhargram,Bombing/Explosion,1
Jhiliguda,Assassination,1
Jholaro,Hostage Taking (Kidnapping),1
Jhoukhonom,Armed Assault,1
Jimalgatta,Hostage Taking (Barricade Incident),1
Jiribam,Bombing/Explosion,1
Jiribam,Hostage Taking (Kidnapping),1
Jisugittam,Bombing/Explosion,1
Jiyanpur,Assassination,1
Jodamba,Facility/Infrastructure Attack,1
Jorhat,Bombing/Explosion,2
Jugasaipatna,Facility/Infrastructure Attack,1
Kachurthal,Bombing/Explosion,1
Kadalbal,Armed Assault,1
Kadhaikhodra,Bombing/Explosion,1
Kadrukhuta,Bombing/Explosion,1
Kaimur,Armed Assault,1
Kaimur,Bombing/Explosion,4
Kajishah,Bombing/Explosion,1
Kakapora,Armed Assault,2
Kakkanad,Bombing/Explosion,1
Kakopathar,Bombing/Explosion,1
Kalachand,Hostage Taking (Kidnapping),1
