source,target,weight
Abohar,Private Citizens & Property,1
Abohar,Utilities,1
Acchabal,Military,1
Adilabad,Police,1
Agartala,Violent Political Party,1
"Agartala, Tripura",Military,1
"Agra, Uttar Pradeshs",Private Citizens & Property,1
Ahmadgarh,Police,1
Ahmedabad,Private Citizens & Property,1
Ahmedgarh,Private Citizens & Property,1
Aizawl,Business,1
Ajarbal,Police,1
Allahabad,Religious Figures/Institutions,1
Amarpur,Private Citizens & Property,1
Ambaia,Government (General),1
"Ambala, Punjab",Transportation,1
Amristar,Private Citizens & Property,1
Amritsan,Transportation,1
Amritsar,Business,2
Amritsar,Educational Institution,1
Amritsar,Government (General),7
Amritsar,Military,2
Amritsar,Police,7
Amritsar,Private Citizens & Property,7
Amritsar,Religious Figures/Institutions,1
Amritsar,Transportation,7
Amritsar,Violent Political Party,3
Amritsar City,Government (General),1
Amritsar City,Police,1
Amritsar Dist.,Police,1
Amritsar Dist.,Private Citizens & Property,1
Amritsar District,Government (General),1
Amritsar District,Police,3
Amritsar District,Private Citizens & Property,2
Amritson,Government (General),1
Anandabajarin Gobardhan,Police,1
"Anantang D., J+K",Government (General),1
"Ananthapur D, Andhra Pradesh State",Government (General),1
Anantnag,Government (General),4
Anantnag,Military,2
Anantnag,Police,8
Anantnag,Private Citizens & Property,3
Anantnag Dist.,Military,1
Anantnag district,Police,2
Anantnag District,Private Citizens & Property,1
"Anantnag Town, Jammu and Kashmir State",Government (General),5
"Anantnag, J+K",Government (General),1
"Anantnag, J+K",Private Citizens & Property,1
"Anantnaj Dist., J + K S.",Military,1
Anatang Dist,Military,1
Andhra Pradeol State,Police,1
Andhra Pradesh,Business,1
Andhra Pradesh,Government (General),3
Andhra Pradesh,Police,1
Andhra Pradesh,Private Citizens & Property,2
Andhra Pradesh S.,Police,1
Andhra Pradesh S.,Private Citizens & Property,3
Andhra Pradesh State,Business,1
Andhra Pradesh State,Government (General),1
Andhra Pradesh State,Police,1
"Andhra, Pradesh State",Private Citizens & Property,1
Ankudar,Violent Political Party,1
"Arai Mila, Najaland",Government (General),1
Asam S.,Police,1
Assam,Business,1
Assam,Government (General),1
Assam,Journalists & Media,1
Assam,Military,2
Assam,Police,1
Assam,Private Citizens & Property,5
Assam,Transportation,2
Assam S.,Military,2
Assam S.,Transportation,1
Assam State,Business,10
Assam State,Government (General),4
Assam State,Military,1
Assam State,Police,2
Assam State,Private Citizens & Property,9
Assam State,Transportation,1
Assam State,Utilities,3
Assam Sttate,Police,1
Assan S.,Transportation,1
Attamohanpara,Private Citizens & Property,1
Ayodhya,Religious Figures/Institutions,3
Azamgarh,Government (General),1
Babural,Police,1
Bade village,Private Citizens & Property,1
Badgam,Police,1
Badgam District,Police,1
Badgam District,Private Citizens & Property,1
Badowal,Transportation,1
Bahugund,Religious Figures/Institutions,1
Bairokundu,Police,1
Bajbur,Business,1
Bajbur,Religious Figures/Institutions,1
"Balasore, Orissa S.",Private Citizens & Property,1
Balmatkote,Private Citizens & Property,1
"Banabari, Assam",Other,1
Bandipora,Government (General),1
Bandipora,Military,1
Bandipora,Police,1
Bandipore,Police,1
Bangalore,Business,1
"Bangalore, Karnataka State",Business,2
Bangalure,Business,1
Bangdar,Police,1
Bangelore,Business,1
Bangwani,Private Citizens & Property,1
Banihal,Military,1
Banihal,Police,1
Banur,Military,1
Bara Village,Private Citizens & Property,1
Barama,Private Citizens & Property,1
"Barama, Assam",Police,1
Baramula,Police,1
Baramula Area,Police,1
Baramula town,Business,1
"Baramula V., J+K",Religious Figures/Institutions,1
Baramulla,Government (General),1
Baramulla,Military,1
Baramulla,Private Citizens & Property,2
Baramulla District,Military,1
"Baramulla, J+K",Private Citizens & Property,1
Barankot,Private Citizens & Property,1
Barasat,Educational Institution,1
Bareilly,Business,1
Barnala,Police,4
Barnala,Private Citizens & Property,1
Barpeta,Transportation,2
Barpeta D.,Transportation,1
Barpeta District,Government (General),1
Barpeta District,Police,1
Barpeta District,Private Citizens & Property,15
Barpetta D.,Business,1
Barsala town,Business,1
"Barshala V., J+K",Private Citizens & Property,1
"Barwa V, Siwan D, Bihars",Private Citizens & Property,1
Batakote,Military,1
Batala,Military,4
Batala,Other,1
Batala,Police,1
Batala,Private Citizens & Property,1
Batala,Religious Figures/Institutions,1
Batala,Transportation,1
Batala City,Private Citizens & Property,1
Batala Police District,Private Citizens & Property,1
Batamalu,Educational Institution,1
Batamalu,Transportation,1
Bathe-Lakshmanpur V.,Private Citizens & Property,1
Batmaloo,Government (General),1
Bawianwali Balaggan,Private Citizens & Property,1
Beas,Police,1
Belaganj Village,Private Citizens & Property,1
Bhaderwah,Military,1
Bhaderwah,Religious Figures/Institutions,1
Bhagapurana,Religious Figures/Institutions,1
Bhair Pura,Private Citizens & Property,1
Bhatghar,Police,1
Bhatinda,Government (General),1
Bhatinda,Police,3
Bhatinda,Private Citizens & Property,1
Bhatinda,Religious Figures/Institutions,1
Bhatinda,Transportation,2
Bhatinda Dist.,Police,1
Bhatinda District,Violent Political Party,1
"Bhatkal, Karnataka",Violent Political Party,1
Bherwar,Government (General),1
Bhikhowal,Tourists,1
Bhikowal,Transportation,1
Bhimpura,Private Citizens & Property,1
"Bhojpur, Bihar",Private Citizens & Property,1
Bhuduwalla,Police,1
Bhunduwalla,Police,1
Bhur Tinali,Military,1
"Bichru Village, Anantnal, Kashmir",Government (General),1
Bidar,Business,1
Bihar,Police,2
Bihar,Private Citizens & Property,1
Bihar,Transportation,1
Bihar,Violent Political Party,1
Bihar S,Religious Figures/Institutions,1
Bihar State,Government (General),5
Bihar State,Police,6
Bihar State,Private Citizens & Property,3
Bihar State,Religious Figures/Institutions,1
Bihar State,Transportation,1
"Bihar State, Hazaribagh D.",Government (General),1
Bijbehara,Government (General),1
"Bijbehara Town, Jammu and Kashmir State",Government (General),1
Bijini,Transportation,1
Bijni,Private Citizens & Property,2
Bilasipara,Transportation,1
Bilaspur,Transportation,1
"Bisbehara Town, Jammu and Kashmir State",Government (General),1
Bishenpur D.,Police,1
Bishnah,Private Citizens & Property,1
