source,target,CountOfattacktype1_txt
Sidhwan,Armed Assault,1
Sikandra,Armed Assault,1
Sikkim State,Assassination,1
Sikkim State,Bombing/Explosion,1
Silanibari,Bombing/Explosion,1
Simaluguri,Assassination,1
Sinari,Armed Assault,1
Sind,Bombing/Explosion,1
Singhbum District,Armed Assault,1
Singhpora,Armed Assault,1
Sipaihar,Hostage Taking (Kidnapping),1
Siripur,Armed Assault,1
Sirpur,Bombing/Explosion,1
Sirpure V. Andhra Pradesh,Armed Assault,1
Sirsa,Armed Assault,1
Sitamarhi,Bombing/Explosion,1
Sitapala,Bombing/Explosion,1
"Siwan City, Bihar S.",Bombing/Explosion,1
Sohian Town,Armed Assault,1
Sonitpur,Armed Assault,1
Sonitpur District,Bombing/Explosion,1
Sopor,Bombing/Explosion,1
Sopor,Facility/Infrastructure Attack,1
Sopora,Bombing/Explosion,1
Sopore,Armed Assault,5
Sopore,Assassination,1
Sopore,Bombing/Explosion,2
Sopore,Facility/Infrastructure Attack,1
Sopore District,Armed Assault,1
Sopore Town,Armed Assault,1
"Sopore, Kashmir",Assassination,1
Sriguhphara,Bombing/Explosion,1
Srinaga,Armed Assault,1
Srinagar,Armed Assault,9
Srinagar,Assassination,7
Srinagar,Bombing/Explosion,58
Srinagar,Facility/Infrastructure Attack,1
Srinagar,Hostage Taking (Kidnapping),2
"Srinagar, J&K",Assassination,1
"Srinagar, J+K",Assassination,2
"Srinagar, J+K",Bombing/Explosion,9
"Srinagar, J+K",Facility/Infrastructure Attack,1
"Srinagar, J+K",Hostage Taking (Kidnapping),2
"Srinagar, J+K State",Hostage Taking (Kidnapping),1
"Srinagar, Jammu and Kashmir State",Assassination,1
"Srinagar, Jammu and Kashmir State",Bombing/Explosion,1
"Srinagar, Kashmir",Bombing/Explosion,1
Srinagar-Jammu Highway,Bombing/Explosion,1
Srinager,Assassination,1
Srinager,Bombing/Explosion,3
"Srinajan, J+K",Bombing/Explosion,1
Srinajar,Armed Assault,1
Srinajar,Bombing/Explosion,7
Srinajar,Unarmed Assault,19
"Srinajar, J+K",Assassination,1
"Srinajar, J+K",Bombing/Explosion,1
Sringar,Bombing/Explosion,4
"Sringar, Jammu and Kashmir State",Bombing/Explosion,1
Srinigar,Armed Assault,40
Srinigar,Assassination,49
Srinigar,Bombing/Explosion,49
Srinigar,Facility/Infrastructure Attack,4
Srinigar,Hostage Taking (Kidnapping),26
Sriperumpudur,Assassination,1
Sririgar,Assassination,1
Srunajar,Bombing/Explosion,1
Sugandh,Bombing/Explosion,1
Sumbal,Armed Assault,1
Sumbal,Assassination,1
Sunan,Assassination,2
Surankot,Armed Assault,2
Sursand District,Armed Assault,1
Swaram,Armed Assault,1
Tada,Armed Assault,1
Talwandibhai,Armed Assault,1
Tamahat,Armed Assault,1
Tamil Nadu State,Assassination,4
Tamil Nadu State,Hostage Taking (Kidnapping),1
Tandra,Armed Assault,1
Tangmang,Bombing/Explosion,1
Tapa Town,Hostage Taking (Kidnapping),1
Taran Taran,Armed Assault,1
Targadh,Bombing/Explosion,1
Tarn Taran,Armed Assault,2
Tarn Taran,Assassination,1
Tarn Taran,Bombing/Explosion,3
Tarn Taran,Hostage Taking (Kidnapping),1
Tarsikha,Assassination,1
Tehsil Goal,Bombing/Explosion,1
Thane,Armed Assault,1
Thanlon,Armed Assault,1
Thinkeu,Armed Assault,1
Thoubal D.,Bombing/Explosion,1
"Thoubal D., Manipur",Armed Assault,1
Thub,Armed Assault,1
Thuth Dhandari,Armed Assault,2
Tichy/Thottipalayam/Thrissur,Bombing/Explosion,3
Tikana,Bombing/Explosion,1
Tinsukia,Bombing/Explosion,1
Tinsukia District,Bombing/Explosion,2
Tiruchi,Bombing/Explosion,1
Tiruchirappali,Assassination,1
Todarmal,Bombing/Explosion,1
Tohana,Armed Assault,1
Trehgam,Bombing/Explosion,1
Tripura,Armed Assault,1
Tripura State,Armed Assault,2
Trivandrum,Armed Assault,1
"Tronglow-Kanghphal, Manipur",Armed Assault,1
Trunde,Armed Assault,1
"Tujjar-Zaloura, J+K",Bombing/Explosion,1
Tulane,Armed Assault,1
"Tusjar Village, Jammu and Kashmir State",Bombing/Explosion,1
"U/I Location, Jammu and Kashmir State",Bombing/Explosion,1
U/I Village,Hostage Taking (Kidnapping),2
"U/I Village, Doda District",Armed Assault,1
"U/I Village, Manipur State",Armed Assault,1
Udalguri,Bombing/Explosion,1
"Udalguri Area, Assam State",Bombing/Explosion,1
"Udalguri, Darrang D., Assam S",Armed Assault,1
Ukhrul,Armed Assault,1
Umra Nangal,Assassination,1
"Uri, J+K State",Bombing/Explosion,1
Uttar Pradesh,Armed Assault,1
Uttar Pradesh,Assassination,1
Uttar Pradesh,Bombing/Explosion,1
Uttar Pradesh State,Armed Assault,2
Uttar Pradesh State,Assassination,1
Uttar Pradesh State,Bombing/Explosion,1
Valgam,Bombing/Explosion,1
Valtoha,Bombing/Explosion,1
Vanlaiphai,Bombing/Explosion,1
Varanasi,Armed Assault,1
Varanasi,Assassination,2
Vazhapadi,Bombing/Explosion,1
Velpur,Bombing/Explosion,1
Vijaypur,Bombing/Explosion,1
Village Nihake,Hostage Taking (Kidnapping),1
Virar,Bombing/Explosion,1
"VLC Mahua, Rajasthan",Bombing/Explosion,1
Wahabpura,Hostage Taking (Kidnapping),1
Wandhama,Armed Assault,1
Warangal,Bombing/Explosion,1
Warangal,Hostage Taking (Kidnapping),1
"Warangal D., Andhra Pradesh",Bombing/Explosion,1
Warangal District,Hostage Taking (Kidnapping),1
"Warangal, Andhra Pradesh",Bombing/Explosion,1
Warangel Andhra Pradesh,Assassination,1
Waripura,Assassination,1
Warpwh,Armed Assault,1
Wasoora,Bombing/Explosion,1
Watapura-Bandipura,Hostage Taking (Kidnapping),1
"Wathargam, J+K",Bombing/Explosion,1
West Bengal,Facility/Infrastructure Attack,1
Wokha,Armed Assault,1
"Wokha D., Nagaland",Armed Assault,1
Yacharam,Armed Assault,1
Yanglam Leikai,Bombing/Explosion,1
Zira,Armed Assault,1
Zojipel,Hostage Taking (Kidnapping),1
