source,target,CountOfattacktype1_txt
Bihar State,Facility/Infrastructure Attack,1
"Bihar State, Hazaribagh D.",Bombing/Explosion,1
Bijbehara,Assassination,1
Bijbehara,Bombing/Explosion,1
"Bijbehara Town, Jammu and Kashmir State",Bombing/Explosion,1
Bijini,Bombing/Explosion,1
Bijni,Bombing/Explosion,2
Bilasipara,Bombing/Explosion,1
Bilaspur,Assassination,1
Bishenpur D.,Armed Assault,1
Bishnah,Bombing/Explosion,2
"Bishnah, J+K",Bombing/Explosion,1
Bishnapur,Assassination,1
Bombay,Armed Assault,3
Bombay,Assassination,6
Bombay,Bombing/Explosion,10
Bombay,Hostage Taking (Kidnapping),2
Bombay,Unarmed Assault,3
Bongaigaon,Armed Assault,1
Brahmawal Tandi,Assassination,1
Buchwind Village,Armed Assault,1
Butta,Armed Assault,1
Cachar District,Hostage Taking (Kidnapping),1
Calcutta,Armed Assault,1
Calcutta,Bombing/Explosion,5
Calcutta,Hijacking,1
Chabal Village,Assassination,1
Chaheru,Armed Assault,1
Chakakujra,Armed Assault,1
Chamanu,Armed Assault,1
Chandigargh,Armed Assault,1
Chandigargh,Bombing/Explosion,1
Chandigarh,Armed Assault,3
Chandigarh,Assassination,7
Chandigarh,Bombing/Explosion,4
Chandigarh city,Bombing/Explosion,1
Chandrapurna,Armed Assault,1
Channa,Armed Assault,1
Chapnali,Armed Assault,1
Charar-e-Shariet,Armed Assault,1
"Chatra D., Bihar State",Assassination,1
Chawmanu,Armed Assault,1
Check-Natnusa,Armed Assault,1
Chenani,Bombing/Explosion,2
Chennai,Bombing/Explosion,2
Chilpaka,Armed Assault,1
Chindwara,Assassination,1
Chintapalli,Bombing/Explosion,1
Chunghrali,Bombing/Explosion,1
Churachandpur D,Armed Assault,1
Churachandpur D.,Armed Assault,1
Churchak,Armed Assault,1
Churchak,Assassination,1
Churchak Village,Hostage Taking (Kidnapping),1
Churchandpur,Armed Assault,1
Chuslewad,Assassination,1
Coimbatore,Armed Assault,2
Coimbatore,Bombing/Explosion,14
Cuttack,Bombing/Explosion,1
Dadbugh,Bombing/Explosion,1
Dadri,Assassination,1
Dadsara-Tral,Assassination,1
Dalwandi Bhai,Hostage Taking (Kidnapping),1
Dalwani Bhai,Assassination,1
Damara,Bombing/Explosion,1
Damkala,Armed Assault,1
Dantewada District,Bombing/Explosion,1
Dariba,Armed Assault,1
"Darish Kadal District, Sringar",Bombing/Explosion,1
Darrang District,Bombing/Explosion,1
Davangeri,Unarmed Assault,1
"Dayalgam, J+K",Bombing/Explosion,1
Deepkarhar,Bombing/Explosion,1
Dehli,Hostage Taking (Kidnapping),3
Delhi,Assassination,2
Delhi,Bombing/Explosion,14
Delhi,Hostage Taking (Kidnapping),1
Dera Baba Nanek,Armed Assault,1
"Desapani V., J+K",Armed Assault,1
Devar-Lolab,Bombing/Explosion,1
Dhadhoi,Armed Assault,1
Dhakikot,Armed Assault,1
Dhalai District,Armed Assault,1
Dhamdhama,Bombing/Explosion,1
Dhandari,Bombing/Explosion,1
Dharamkut,Armed Assault,1
Dharampuram,Assassination,1
Dholabari,Bombing/Explosion,1
"Dhubri, Assam",Armed Assault,1
Dhumachara,Hostage Taking (Kidnapping),1
"Dialgam village, Jammu and Kashmir State",Bombing/Explosion,1
Digiana,Bombing/Explosion,1
"Digwar Village, Jammu and Kashmir State",Bombing/Explosion,1
Dimapur,Bombing/Explosion,1
"Dimapur, Nagaland",Bombing/Explosion,1
"Dimapur, Nageland",Bombing/Explosion,1
Dimtal village,Bombing/Explosion,1
Diphu,Bombing/Explosion,1
Dispur,Bombing/Explosion,1
Dobaka,Facility/Infrastructure Attack,1
"Docla, J+K",Bombing/Explosion,1
Doda,Armed Assault,1
Doda,Bombing/Explosion,2
"Doda District, Jammu and Kashmir State",Hijacking,1
Dodadib Hills,Armed Assault,1
Doimaguri,Armed Assault,1
Donkarayi,Bombing/Explosion,1
Drusu,Assassination,1
Dubli,Armed Assault,1
Duliajan,Bombing/Explosion,1
Dungiwatcha,Bombing/Explosion,1
East Godavari Forest,Bombing/Explosion,1
Faridkot,Armed Assault,4
Faridkot,Facility/Infrastructure Attack,3
Faridkot Dist.,Armed Assault,1
Farikot,Assassination,1
Fatahpur,Assassination,1
Fatehgarh Churian,Bombing/Explosion,1
Fattawala,Armed Assault,1
Ferozepore,Armed Assault,2
Ferozepore Dist,Armed Assault,1
Ferozepore Dist.,Armed Assault,1
Ferozepore District,Assassination,1
Ferozepur,Armed Assault,1
Ferozepur,Assassination,1
Ferozepur,Bombing/Explosion,1
Ferozepur District,Assassination,1
Ganda Basti,Armed Assault,1
Ganderbal,Assassination,1
Ganderbal Town,Bombing/Explosion,1
Ganganagar,Armed Assault,1
Ganji Gulabsinghwala,Assassination,1
Gatta Badshah,Armed Assault,1
Gauhati,Assassination,1
Gauhati,Bombing/Explosion,1
"Gaya, Bihar S.",Armed Assault,1
Gayzing,Bombing/Explosion,1
Genel,Armed Assault,1
Ghawaden Kothi,Armed Assault,1
Ghaziabad,Bombing/Explosion,1
Ghaziabad,Unarmed Assault,1
Gherimandi,Assassination,1
Gizzer Village,Armed Assault,1
Goalpara,Hostage Taking (Kidnapping),1
Gohalwad,Assassination,1
Golwar,Bombing/Explosion,1
Gonpur,Assassination,1
Gool Gulab Garh,Armed Assault,1
"Gorakphur, Uttar Pradesh State",Assassination,1
Gorangatilla,Armed Assault,1
Goraya,Assassination,1
Goreshwar,Bombing/Explosion,1
"Gossaigaon, Assam",Armed Assault,1
Gretabal,Bombing/Explosion,1
Gudur,Assassination,1
Gujarat,Armed Assault,1
Gujarat,Assassination,1
Gujarat,Hostage Taking (Kidnapping),1
Gulmarg,Armed Assault,1
Gurbux Nagar,Assassination,1
Gurdaspur,Armed Assault,3
Gurdaspur,Assassination,1
Gurdaspur Dist.,Assassination,1
Gurdaspur Dist.,Bombing/Explosion,1
Gurdaspur District,Assassination,3
Guwahati,Assassination,2
Guwahati,Bombing/Explosion,8
Guwahati,Hostage Taking (Kidnapping),4
Hadawadi,Armed Assault,1
Haflong,Armed Assault,1
Hajera,Bombing/Explosion,1
Haldwani Town,Bombing/Explosion,1
Handwara,Bombing/Explosion,2
Hanjiwala Pattan,Armed Assault,1
Hapatnar Village,Hijacking,1
Hardwar,Bombing/Explosion,1
Haridwar,Bombing/Explosion,1
Harkiliar,Armed Assault,1
Harsha Shinna,Assassination,1
Hathikulai,Armed Assault,1
Hatimura,Armed Assault,1
Hazratbal,Assassination,1
Hazratbul,Unarmed Assault,1
"Hazratbul, J+K",Bombing/Explosion,1
High Security Area of Srinagar,Bombing/Explosion,1
Hoshiapur,Assassination,2
Hostapur,Bombing/Explosion,1
Howrah District *,Bombing/Explosion,1
Hozeau,Bombing/Explosion,1
Humahama,Bombing/Explosion,1
Husoor village,Bombing/Explosion,1
Hyderabad,Armed Assault,2
Hyderabad,Bombing/Explosion,1
Hyderabad,Hostage Taking (Kidnapping),1
Ikou,Armed Assault,1
Ikou Bazar,Armed Assault,1
Imphal,Bombing/Explosion,1
"Imphal, Manipur",Armed Assault,1
"Imphal, Manipur",Bombing/Explosion,7
"Imphal, Manipur State",Armed Assault,1
"Imphal, Manipur State",Assassination,1
"Imphal, Manipur State",Bombing/Explosion,2
"Indore, Madhya Pradesh State",Assassination,1
Iqbalabad,Bombing/Explosion,1
J + K,Facility/Infrastructure Attack,18
J&K,Armed Assault,2
J&K,Bombing/Explosion,2
J&K,Hostage Taking (Kidnapping),1
J+K,Bombing/Explosion,3
Jaflan,Armed Assault,1
Jagraon,Armed Assault,1
Jagraun,Assassination,1
Jaintipura,Hostage Taking (Kidnapping),1
Jaipur,Bombing/Explosion,3
"Jaipur, Rajasthan S.",Assassination,1
"Jaipur, Rasasthanj State",Hostage Taking (Kidnapping),1
Jalandhar,Armed Assault,2
Jalandhar,Assassination,2
Jalandhar,Bombing/Explosion,1
Jalandhar District,Hostage Taking (Kidnapping),1
Jalandhar-Amritsar,Bombing/Explosion,1
Jallundhur,Facility/Infrastructure Attack,1
Jammu,Assassination,1
Jammu,Bombing/Explosion,21
Jammu + Kashmir State,Armed Assault,1
Jammu and Kashmir state,Armed Assault,4
Jammu and Kashmir State,Facility/Infrastructure Attack,10
Jammu city,Bombing/Explosion,2
Jammu Kashmir State,Assassination,1
Jammu Kashmir State,Hostage Taking (Kidnapping),1
Jammu State,Hostage Taking (Kidnapping),1
"Jammu, J+K",Bombing/Explosion,1
"Jammu, Jammu Kashmir State",Bombing/Explosion,1
Jamshedpur,Armed Assault,1
Jamshedpur,Bombing/Explosion,1
Jandiala,Bombing/Explosion,1
Jarubachen,Hostage Taking (Kidnapping),1
Jarul Racha,Armed Assault,1
Jatana,Assassination,1
Jehanabad,Armed Assault,1
Jhabbal,Bombing/Explosion,1
Jhandoke,Armed Assault,1
"Jhansi, Uttar Pradesh State",Bombing/Explosion,1
Jholian,Assassination,1
Jillan,Assassination,1
Jorhat,Hostage Taking (Kidnapping),2
Joshimath,Assassination,1
Jullundhur,Assassination,1
Jullundur,Armed Assault,2
Jullundur,Assassination,1
Jullundur,Bombing/Explosion,1
Jullundur Sadar,Armed Assault,1
Kab,Armed Assault,1
Kachduro,Assassination,1
Kachugaon,Facility/Infrastructure Attack,1
Kalabanh,Armed Assault,1
Kalakuchi,Armed Assault,1
Kalikewal,Armed Assault,1
Kalwamora,Armed Assault,1
Kalyan,Bombing/Explosion,1
"Kalyanpur, Tripura",Armed Assault,1
Kamarapally,Bombing/Explosion,1
Kamoke Village,Armed Assault,1
