source,target,weight
Aizwal town*,Police,1
Aizwal town*,Telecommunication,1
Amapur town,Private Citizens & Property,1
Assam state,Police,1
Bihar state,Police,1
Bombay,Airports & Aircraft,1
Champai,Police,1
Imphal,Government (General),1
Jameshedpur,Religious Figures/Institutions,1
Jamshedpur,Private Citizens & Property,1
Madras,Transportation,1
Manipur,Government (General),1
Manipur,Police,1
Manipur state,Police,1
Mizoram territory (Northeast),Government (General),1
"Mizoram, Aizawl",Government (General),1
near Assam border,Government (General),1
New Delhi,Airports & Aircraft,2
New Delhi,Government (General),1
New Delhi,Police,1
Raisikah,Police,1
Samastipur,Government (General),1
Uttar Pradesh State,Government (General),1
