source,target,weight
Aizwal town*,Facility/Infrastructure Attack,2
Amapur town,Unknown,1
Assam state,Armed Assault,1
Bihar state,Armed Assault,1
Bombay,Hijacking,1
Champai,Armed Assault,1
Imphal,Assassination,1
Jameshedpur,Bombing/Explosion,1
Jamshedpur,Bombing/Explosion,1
Madras,Bombing/Explosion,1
Manipur,Armed Assault,1
Manipur,Assassination,1
Manipur state,Armed Assault,1
Mizoram territory (Northeast),Assassination,1
"Mizoram, Aizawl",Assassination,1
near Assam border,Armed Assault,1
New Delhi,Armed Assault,2
New Delhi,Bombing/Explosion,1
New Delhi,Hijacking,1
Raisikah,Armed Assault,1
Samastipur,Bombing/Explosion,1
Uttar Pradesh State,Assassination,1
